PMCID,Field,JSON_Value,TSV_Value
PMC9347213,publication/year,2023,2022
PMC9347213,publication/doi,10.1021/acsbiomaterials.2c00618,10.1021/acsbiomaterials.1c01343
PMC11865635,publication/title,Automatic Gallbladder Identification on CT,"Automated CT image prescription of the gallbladder using deep learning: Development, evaluation, and health promotion."
PMC11865635,publication/authors,"The authors who contributed to this article are:

- Chien-Yi Yang
- Hao-Lun Kao
- Chung-Feng Kuo
- Shao-Cheng Liu

The specific contributions of each author to the paper are not detailed.","Yang CY, Kao HL, Chen YC, Kuo CF, Liu CH, Liu SC"
PMC11865635,publication/journal,Not enough information is available.,Acute medicine & surgery
PMC11865635,publication/year,2024,2025
PMC11865635,publication/doi,Not enough information is available.,10.1002/ams2.70049
PMC8581823,publication/title,Deep learning prediction of attention-deficit hyperactivity disorder in African Americans by copy number variation,Deep learning prediction of attention-deficit hyperactivity disorder in African Americans by copy number variation.
PMC8581823,publication/authors,"The authors who contributed to the article are:

- Yichuan Liu
- Hui-Qi Qu
- Xiao Chang
- Kenny Nguyen
- Jingchun Qu
- Lifeng Tian
- Joseph Glessner
- Patrick MA Sleiman
- Hakon Hakonarson

Yichuan Liu and Hakon Hakonarson are the corresponding authors. The specific contributions of each author are not detailed in the provided information.","Liu Y, Qu HQ, Chang X, Nguyen K, Qu J, Tian L, Glessner J, Sleiman PM, Hakonarson H"
PMC8581823,publication/journal,Experimental Biology and Medicine,"Experimental biology and medicine (Maywood, N.J.)"
PMC11625410,publication/title,Molecular de-extinction of ancient antimicrobial peptides enabled by machine learning,Molecular de-extinction of ancient antimicrobial peptides enabled by machine learning.
PMC11625410,publication/authors,"The authors who contributed to the article are:

- Cesar de la Fuente-Nunez, who holds a Presidential Professorship at the University of Pennsylvania and acknowledges funding from various sources, including the Procter & Gamble Company, United Therapeutics, and the National Institutes of Health. He also provided strains of Escherichia coli and contributed to the statistical analyses.

- Jacqueline R. M. A. Maasch, who acknowledges support from the University of Pennsylvania GAPSA-Provost Fellowship for Interdisciplinary Innovation and the Open Knowledge Foundation Frictionless Data for Reproducible Research Fellowship.

- Mark Goulian, who kindly donated strains of Escherichia coli.

- Charles W. Ross III, who provided chromatographic/mass spectral method development, analyses, and data interpretation.

- Gui-Shuang Ying, who provided advice on statistical analyses.

- Karen Pepper, who edited the manuscript.

- Members of the de la Fuente Lab, who contributed through insightful discussions.

- Various other contributors who are cited in the acknowledgments for their specific roles in the research.","Maasch JRMA, Torres MDT, Melo MCR, de la Fuente-Nunez C"
PMC11625410,publication/journal,Cell Host Microbe,Cell host & microbe
PMC11625410,publication/doi,Not enough information is available,10.1016/j.chom.2023.07.001
PMC7665450,publication/title,Streamlining follicular monitoring during controlled ovarian stimulation: a data-driven approach to efficient IVF care in the new era of social distancing,Streamlining follicular monitoring during controlled ovarian stimulation: a data-driven approach to efficient IVF care in the new era of social distancing.
PMC7665450,publication/authors,"The authors who contributed to this article are:

- **I. Robertson** - The corresponding author, responsible for the overall study design, data analysis, and manuscript preparation. Robertson is affiliated with the Human Development and Health department at the University of Southampton.

- **F.P. Chmiel** - Contributed to the study design, data analysis, and manuscript preparation. Chmiel is associated with the IT Innovation Centre, School of Electronics and Computer Science, at the University of Southampton.

- **Y. Cheong** - Assisted in the study design, data collection, and manuscript preparation. Cheong is also affiliated with the Human Development and Health department at the University of Southampton.","Robertson I, Chmiel FP, Cheong Y"
PMC7665450,publication/journal,Not enough information is available,"Human reproduction (Oxford, England)"
PMC7665450,publication/year,2020,2021
PMC11806858,publication/title,Cardiovascular risk prediction in Chinese patients with type 2 diabetes mellitus using a machine learning-based dynamic prediction model,Predicting cardiovascular outcomes in Chinese patients with type 2 diabetes by combining risk factor trajectories and machine learning algorithm: a cohort study.
PMC11806858,publication/authors,Not enough information is available.,"Huang Q, Zou X, Lian Z, Zhou X, Han X, Luo Y, Chen S, Wang Y, Wu S, Ji L"
PMC11806858,publication/journal,Cardiovascular Diabetology,Cardiovascular diabetology
PMC11806858,publication/doi,Not enough information is available.,10.1186/s12933-025-02611-0
PMC11874791,publication/title,Fluids and Barriers of the CNS,Applying machine learning to high-dimensional proteomics datasets for the identification of Alzheimer's disease biomarkers.
PMC11874791,publication/authors,"The authors who contributed to this article are:

- **C.I. Orrelid** and **O. R.** developed the methodology, implemented the code, analyzed the results, and wrote the main manuscript.
- **S. W.**, **J. G.**, and **H. Z.** provided figures and tables.
- **N. M.** and **L. S.** developed the methodology, supported in analyzing the results, and wrote the main manuscript.
- **F. D. J.** developed the machine learning methodology and supported in analyzing the results.
- **H. Z.** is also noted for his extensive involvement in scientific advisory boards and consultations, as well as his role as a Wallenberg Scholar and Distinguished Professor.
- All authors reviewed the manuscript.","Ivarsson Orrelid C, Rosberg O, Weiner S, Johansson FD, Gobom J, Zetterberg H, Mwai N, Stempfle L"
PMC11874791,publication/journal,Fluids and Barriers of the CNS,Fluids and barriers of the CNS
PMC11874791,publication/doi,https://doi.org/10.1186/s12987-025-00634-z,10.1186/s12987-025-00634-z
PMC10948976,publication/title,A machine learning-based prediction model of pelvic lymph node metastasis in women with early-stage cervical cancer,A machine learning-based prediction model of pelvic lymph node metastasis in women with early-stage cervical cancer.
PMC10948976,publication/authors,"The authors who contributed to this article are Kamonrat Monthatip, Chiraphat Boonnag, Tanarat Muangmool, and Kittipat Charoenkwan. Kamonrat Monthatip and Chiraphat Boonnag contributed equally as first authors. Kamonrat Monthatip, Tanarat Muangmool, and Kittipat Charoenkwan are affiliated with the Department of Obstetrics and Gynecology, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand. Chiraphat Boonnag is affiliated with the Biomedical Informatics Center, Faculty of Medicine, Chiang Mai University, Chiang Mai, Thailand.","Monthatip K, Boonnag C, Muangmool T, Charoenkwan K"
PMC10948976,publication/journal,Journal of Gynecologic Oncology,Journal of gynecologic oncology
PMC10583101,publication/title,Not enough information is available.,"Performance of predictive algorithms in estimating the risk of being a zero-dose child in India, Mali and Nigeria."
PMC10583101,publication/authors,"The authors who contributed to this article are:

- Arpita Biswas, who was involved in conceptualization, software development, formal analysis, visualization, writing the original draft, reviewing and editing the draft, and supervision.
- JT, who contributed to software development, formal analysis, and reviewing and editing the draft.
- SB, who was involved in conceptualization, writing the original draft, reviewing and editing the draft, supervision, and project administration.

All authors attest that they meet the ICMJE criteria for authorship. SB serves as the guarantor and accepts full responsibility for the finished work and the conduct of the study, had access to the data, and controlled the decision to publish.","Biswas A, Tucker J, Bauhoff S"
PMC10583101,publication/journal,BMJ Global Health,BMJ global health
PMC8897225,publication/title,Not enough information is available.,Classifying hazardous movements and loads during manual materials handling using accelerometers and instrumented insoles.
PMC8897225,publication/authors,"The authors who contributed to this article are Trkov, Putz-Anderson, Garg, Waters, Gabriel, Noble, An, Yu, Antwi-Afari, Anjum, Ilyas, Aly, Hosseinian, Merryweather, and Lin.

Trkov is the primary author, leading the research and writing the manuscript. Putz-Anderson, Garg, and Waters contributed to the development of the NIOSH lifting equation, which is referenced in the study. Gabriel, Noble, and An provided insights into the estimation of the optimum cutoff frequency for the Butterworth low-pass digital filter. Yu contributed to the understanding of common cutoff values for acceleration filtering. Antwi-Afari, Anjum, and Ilyas provided previous successful applications of machine learning classifiers in similar studies. Aly contributed to the explanation of machine learning algorithms used in the study. Hosseinian provided insights into the optimal buffer size for feature extraction. Merryweather contributed to the data processing techniques used in the study. Lin provided previous applications of the k-Nearest Neighbors algorithm in occupational activities classification studies.","Trkov M, Stevenson DT, Merryweather AS"
PMC8897225,publication/journal,Applied Ergonomics,Applied ergonomics
PMC8897225,publication/year,2023,2022
PMC8897225,publication/doi,Not enough information is available.,10.1016/j.apergo.2022.103693
PMC9413214,publication/title,Not enough information is available.,Using Machine Learning to Identify Biomarkers Affecting Fat Deposition in Pigs by Integrating Multisource Transcriptome Information.
PMC9413214,publication/authors,"The authors who contributed to this article are:

- Chuduan Wang, who served as a corresponding author and contributed to the conceptualization and supervision of the study. Wang is affiliated with the National Engineering Laboratory for Animal Breeding, Laboratory of Animal Genetics, Breeding and Reproduction, Ministry of Agriculture, College of Animal Science and Technology, China Agricultural University, Beijing, China.

- Xiangdong Ding, who also served as a corresponding author and contributed to the conceptualization and supervision of the study. Ding is affiliated with the same institutions as Wang.

- Huatao Liu, who contributed to the investigation and methodology of the study. Liu is affiliated with the National Engineering Laboratory for Animal Breeding, Laboratory of Animal Genetics, Breeding and Reproduction, Ministry of Agriculture, College of Animal Science and Technology, China Agricultural University, Beijing, China.

- Kai Xing, who contributed to the investigation and methodology of the study. Xing is affiliated with the same institutions as Liu.

- Yifan Jiang, who contributed to the investigation and methodology of the study. Jiang is affiliated with the same institutions as Xing.

- Yibing Liu, who contributed to the investigation and methodology of the study. Liu is affiliated with the same institutions as Jiang.","Liu H, Xing K, Jiang Y, Liu Y, Wang C, Ding X"
PMC9413214,publication/journal,Journal of Agricultural and Food Chemistry,Journal of agricultural and food chemistry
PMC9413214,publication/doi,Not enough information is available.,10.1021/acs.jafc.2c03339
PMC7941561,publication/title,Study of morphological and textural features for classification of oral squamous cell carcinoma by traditional machine learning techniques,Study of morphological and textural features for classification of oral squamous cell carcinoma by traditional machine learning techniques.
PMC7941561,publication/authors,"The authors who contributed to the article are:

- Tabassum Yesmin Rahman
- Lipi B. Mahanta
- Hiten Choudhury
- Anup K. Das
- Jagannath D. Sarma

Tabassum Yesmin Rahman and Lipi B. Mahanta are the primary authors. Tabassum Yesmin Rahman is associated with the Department of Computer Science & IT at Cotton University, and Lipi B. Mahanta is with the Mathematical and Computational Sciences Division at the Institute of Advanced Study in Science and Technology. Both have significantly contributed to the methodology and implementation of the study.

Hiten Choudhury, affiliated with the Department of Computer Science & IT at Cotton University, also played a crucial role in the development of the research.

Anup K. Das, from Pathology at Arya Wellness Centre, and Jagannath D. Sarma, from Pathology at Dr. B. Borooah Cancer Institute, provided essential pathological insights and contributed to the collection and analysis of biopsy slides, ensuring the accuracy and relevance of the data used in the study.","Rahman TY, Mahanta LB, Choudhury H, Das AK, Sarma JD"
PMC7941561,publication/journal,Cancer Reports,"Cancer reports (Hoboken, N.J.)"
PMC7676934,publication/title,Not enough information is available.,Construction and Validation of Predictive Model to Identify Critical Genes Associated with Advanced Kidney Disease.
PMC7676934,publication/authors,Not enough information is available.,"Xin G, Zhou G, Zhang W, Zhang X"
PMC7676934,publication/journal,International Journal of Genomics,International journal of genomics
PMC7676934,publication/doi,Not enough information is available.,10.1155/2020/7524057
PMC8832594,publication/title,Development and comparison of 1-year survival models in patients with primary bone sarcomas: External validation of a Bayesian belief network model and creation and external validation of a new gradient boosting machine model,Development and comparison of 1-year survival models in patients with primary bone sarcomas: External validation of a Bayesian belief network model and creation and external validation of a new gradient boosting machine model.
PMC8832594,publication/authors,"The authors who contributed to the article are:

- Christina E Holm
- Clare F Grazal
- Mathias Raedkjaer
- Thomas Baad-Hansen
- Rajpal Nandra
- Robert Grimer
- Jonathan A Forsberg
- Michael Moerk Petersen
- Michala Skovlund Soerensen

Not sure about the specific contributions of each author to the paper.","Holm CE, Grazal CF, Raedkjaer M, Baad-Hansen T, Nandra R, Grimer R, Forsberg JA, Petersen MM, Skovlund Soerensen M"
PMC8832594,publication/journal,SAGE Open Medicine,SAGE open medicine
PMC7511449,publication/title,Not enough information is available.,Combining Three-Dimensional Modeling with Artificial Intelligence to Increase Specificity and Precision in Peptide-MHC Binding Predictions.
PMC7511449,publication/authors,Not enough information is available.,"Aranha MP, Jewel YSM, Beckman RA, Weiner LM, Mitchell JC, Parks JM, Smith JC"
PMC7511449,publication/journal,J Immunol.,"Journal of immunology (Baltimore, Md. : 1950)"
PMC7511449,publication/year,2021,2020
PMC7511449,publication/doi,Not enough information is available.,10.4049/jimmunol.1900918
PMC10492341,publication/title,Gaucher disease identification using machine learning algorithms in electronic health records,Development of a rare disease algorithm to identify persons at risk of Gaucher disease using electronic health records in the United States.
PMC10492341,publication/authors,"The authors who contributed to this article are:

- Andrew Wilson
- Anna Chahine
- Michael A. Amato
- David S. Smith
- Pierre Pothier
- Nidhi Shah
- Lisa S. Klesse
- Michael Glick
- Michael R. Rosenbaum
- Michael B. Benis
- Shoshana Gabay
- Michael Maass
- Catherine M. McGowan
- Andrea Deleonardis

The contributions of each author to the paper are as follows:

- Andrew Wilson, Anna Chahine, Pierre Pothier, Nidhi Shah, Lisa S. Klesse, Michael Glick, Michael B. Benis, Michael Maass, and Andrea Deleonardis contributed to the conceptual design of the study and/or data analyses.
- Andrew Wilson, Anna Chahine, Michael A. Amato, David S. Smith, Pierre Pothier, Nidhi Shah, Lisa S. Klesse, Michael Glick, Michael R. Rosenbaum, Michael B. Benis, Shoshana Gabay, Michael Maass, Catherine M. McGowan, and Andrea Deleonardis contributed to the interpretation of the data and participated in the drafting and critical revision of the article.
- All authors approved the final version of the manuscript and are accountable for its accuracy and integrity.","Wilson A, Chiorean A, Aguiar M, Sekulic D, Pavlick P, Shah N, Sniderman King L, Génin M, Rollot M, Blanchon M, Gosset S, Montmerle M, Molony C, Dumitriu A"
PMC10492341,publication/journal,Orphanet Journal of Rare Diseases,Orphanet journal of rare diseases
PMC5521984,publication/title,Convolutional Neural Networks for Biomedical Text Classification: Application in Indexing Biomedical Articles,Convolutional Neural Networks for Biomedical Text Classification: Application in Indexing Biomedical Articles.
PMC5521984,publication/authors,"The authors who contributed to the article are Anthony Rios and Ramakanth Kavuluru. Both authors are affiliated with the University of Kentucky. Anthony Rios is associated with the Department of Computer Science, while Ramakanth Kavuluru is part of the Division of Biomedical Informatics, as well as the Departments of Biostatistics and Computer Science. Their combined expertise in computer science and biomedical informatics was instrumental in the development and analysis of convolutional neural networks for biomedical text classification, specifically in the context of assigning medical subject headings to biomedical articles.","Rios A, Kavuluru R"
PMC5521984,publication/journal,ACM BCB,"ACM-BCB ... ... : the ... ACM Conference on Bioinformatics, Computational Biology and Biomedicine. ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
PMC10075196,publication/title,Not enough information is available.,Early ACLR and Risk and Timing of Secondary Meniscal Injury Compared With Delayed ACLR or Nonoperative Treatment: A Time-to-Event Analysis Using Machine Learning.
PMC10075196,publication/authors,Not enough information is available.,"Lu Y, Jurgensmeier K, Till SE, Reinholz A, Saris DBF, Camp CL, Krych AJ"
PMC10075196,publication/journal,Am J Sports Med.,The American journal of sports medicine
PMC10075196,publication/year,2023,2022
PMC10075196,publication/doi,Not enough information is available.,10.1177/03635465221124258
PMC9980216,publication/title,AI Estimation of Gestational Age from Blind Ultrasound Sweeps in Low-Resource Settings,AI Estimation of Gestational Age from Blind Ultrasound Sweeps in Low-Resource Settings.
PMC9980216,publication/authors,Not enough information is available.,"Pokaprakarn T, Prieto JC, Price JT, Kasaro MP, Sindano N, Shah HR, Peterson M, Akapelwa MM, Kapilya FM, Sebastião YV, Goodnight W 3rd, Stringer EM, Freeman BL, Montoya LM, Chi BH, Rouse DJ, Cole SR, Vwalika B, Kosorok MR, Stringer JSA"
PMC9980216,publication/journal,NEJM Evid.,NEJM evidence
PMC9980216,publication/doi,Not enough information is available.,10.1056/evidoa2100058
PMC9903217,publication/title,Interpretable deep learning for the prognosis of long-term functional outcome post-stroke using acute diffusion weighted imaging,Interpretable deep learning for the prognosis of long-term functional outcome post-stroke using acute diffusion weighted imaging.
PMC9903217,publication/authors,"The authors who contributed to this article are:

- Eric Moulton, who made a substantial contribution to the concept and design, acquisition of data or analysis and interpretation of data, drafted the article or revised it critically for important intellectual content, and accepted direct responsibility for the manuscript.

- Charlotte Rosso, who made a substantial contribution to the concept and design, acquisition of data or analysis and interpretation of data, drafted the article or revised it critically for important intellectual content, and accepted direct responsibility for the manuscript.

- MP, GM, SS, BL, SL, and FC, who made a substantial contribution to the concept and design, acquisition of data or analysis and interpretation of data and approved the version to be published.

- RV, who made a substantial contribution to the concept and design, acquisition of data or analysis and interpretation of data and drafted the article or revised it critically for important intellectual content, and approved the version to be published.","Moulton E, Valabregue R, Piotin M, Marnat G, Saleme S, Lapergue B, Lehericy S, Clarencon F, Rosso C"
PMC9903217,publication/journal,Journal of Cerebral Blood Flow & Metabolism,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism
PMC9903217,publication/doi,10.1177/0271678X221129230,10.1177/0271678x221129230
PMC8586384,publication/title,Not enough information is available.,Knee Implant Identification by Fine-Tuning Deep Learning Models.
PMC8586384,publication/authors,"The authors who contributed to the article are Sukkrit Sharma, Vineet Batta, Malathy Chidambaranathan, Prabhakaran Mathialagan, Gayathri Mani, M. Kiruthika, Barun Datta, Srinath Kamineni, Guruva Reddy, Suhas Masilamani, Sandeep Vijayan, and Derek F. Amanatullah.

Sukkrit Sharma, Malathy Chidambaranathan, Prabhakaran Mathialagan, and Gayathri Mani are affiliated with the Department of Computer Science and Engineering at the SRM Institute of Science and Technology. Their contributions likely focused on the technical aspects of the deep learning models used in the study.

Vineet Batta and M. Kiruthika are associated with the Department of Orthopaedic at the Luton and Dunstable University College London Hospitals NHS Foundation Trust. Their expertise in orthopaedics would have been crucial in understanding the clinical implications and requirements of the study.

Barun Datta is from the Army Research and Referral in New Delhi, and his contribution would have involved ensuring the practical applicability of the research in a clinical setting.

Srinath Kamineni is affiliated with the University of Kentucky, and his role likely involved providing insights into the technical and computational aspects of the study.

Guruva Reddy, from Liverpool Hospital, and Suhas Masilamani, from Montifiore Children Health Center, would have contributed their clinical expertise to ensure the relevance and accuracy of the study in real-world scenarios.

Sandeep Vijayan, from Kasturba Medical College, and Derek F. Amanatullah, from the Department of Orthopaedic Surgery at Stanford University, would have provided additional clinical perspectives and ensured the study's findings were aligned with current medical practices and standards.","Sharma S, Batta V, Chidambaranathan M, Mathialagan P, Mani G, Kiruthika M, Datta B, Kamineni S, Reddy G, Masilamani S, Vijayan S, Amanatullah DF"
PMC8586384,publication/journal,Indian Journal of Orthopaedics,Indian journal of orthopaedics
PMC8586384,publication/doi,Not enough information is available.,10.1007/s43465-021-00529-9
PMC10812839,publication/title,Not enough information is available.,Predicting Neuromuscular Engagement to Improve Gait Training with a Robotic Ankle Exoskeleton.
PMC10812839,publication/authors,"The authors who contributed to this article are:

- Harshe et al. (The specific names of the authors in the ""Harshe et al."" group are not provided.)
- Zachary F. Lerner (Corresponding author)
- Conner BC
- Luque J

The specific contributions of each author are not detailed.","Harshe K, Williams JR, Hocking TD, Lerner ZF"
PMC10812839,publication/journal,IEEE Robotics and Automation Letters,IEEE robotics and automation letters
PMC10812839,publication/year,2024,2023
PMC10812839,publication/doi,10.1109/ICORR55369.2022.9896581.,10.1109/lra.2023.3291919
PMC9338423,publication/title,Deep Learning for Basal Cell Carcinoma Detection for Reflectance Confocal Microscopy,Deep Learning for Basal Cell Carcinoma Detection for Reflectance Confocal Microscopy.
PMC9338423,publication/authors,"The authors who contributed to the article are:

Gabriele Campanella, who contributed to conceptualization, formal analysis, investigations, methodology, software, visualization, writing the original draft, and reviewing and editing.

Cristian Navarrete-Dechent, who contributed to conceptualization, formal analysis, investigations, methodology, visualization, writing the original draft, and reviewing and editing.

Konstantinos Liopyris, who contributed to conceptualization and investigations.

Jilliana Monnier, who contributed to investigations and reviewing and editing.

Saud Aleissa, who contributed to investigations.

Bramhteg Minas, who contributed to investigations.

Alon Scope, who contributed to reviewing and editing.

Caterina Longo, who contributed to reviewing and editing.

Pascale Guitera, who contributed to reviewing and editing.

Giovanni Pellacani, who contributed to reviewing and editing.

Kivanc Kose, who contributed to reviewing and editing.

Allan C. Halpern, who contributed to supervision and reviewing and editing.

Thomas J. Fuchs, who contributed to conceptualization, supervision, and reviewing and editing.

Manu Jain, who contributed to conceptualization, formal analysis, investigations, methodology, resources, supervision, visualization, and reviewing and editing.","Campanella G, Navarrete-Dechent C, Liopyris K, Monnier J, Aleissa S, Minhas B, Scope A, Longo C, Guitera P, Guitera P, Pellacani G, Kose K, Halpern AC, Fuchs TJ, Jain M"
PMC9338423,publication/journal,Journal of Investigative Dermatology,The Journal of investigative dermatology
PMC4527478,publication/title,An Online Paradigm for Ovarian Cancer Screening,GyneScan: an improved online paradigm for screening of ovarian cancer via tissue characterization.
PMC4527478,publication/authors,"The authors who contributed to this article are:

- Acharya, U. Rajendra
- Sree, Vinitha S.
- Saba, Luca
- Molinari, Filippo
- Guerriero, Stefano
- Suri, Jasjit S.

The specific contributions of each author to the paper are not detailed.","Acharya UR, Sree SV, Kulshreshtha S, Molinari F, En Wei Koh J, Saba L, Suri JS"
PMC4527478,publication/journal,Technology in Cancer Research & Treatment,Technology in cancer research & treatment
PMC4527478,publication/doi,10.7785/tcrt.2012.500272,10.7785/tcrtexpress.2013.600273
PMC10579490,publication/title,PRESCRIP-TEC: Prevention and Screening Innovation Project Towards Elimination of Cervical Cancer,Artificial intelligence and visual inspection in cervical cancer screening.
PMC10579490,publication/authors,"The authors who contributed to the article are:

- Nakisige C
- Not sure

The specific contributions of each author to the paper are not detailed.","Nakisige C, de Fouw M, Kabukye J, Sultanov M, Nazrui N, Rahman A, de Zeeuw J, Koot J, Rao AP, Prasad K, Shyamala G, Siddharta P, Stekelenburg J, Beltman JJ"
PMC10579490,publication/journal,Int J Gynecol Cancer,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society
PMC10651383,publication/title,AI in Prediction of GISTs on EUS,"Artificial Intelligence in the Prediction of Gastrointestinal Stromal Tumors on Endoscopic Ultrasonography Images: Development, Validation and Comparison with Endosonographers."
PMC10651383,publication/authors,"The authors who contributed to this article are as follows:

Yi Lu contributed to data acquisition, data analysis and interpretation, drafting of the manuscript, and statistical analysis.

Jiachuan Wu contributed to data acquisition, data analysis and interpretation, drafting of the manuscript, and statistical analysis.

Minhui Hu contributed to data acquisition, data analysis and interpretation, and statistical analysis.

Qinghua Zhong contributed to data acquisition.

Limian Er contributed to data acquisition.

Huihui Shi contributed to data acquisition.

Weihui Cheng contributed to data acquisition and data analysis and interpretation.

Ke Chen contributed to data acquisition.

Yuan Liu contributed to data acquisition.

Bingfeng Qiu contributed to data acquisition.

Qiancheng Xu contributed to data acquisition.

Guangshun Lai contributed to data analysis and interpretation.

Yufeng Wang contributed to administrative, technical, or material support; study supervision.

Yuxuan Luo contributed to administrative, technical, or material support; study supervision.

Jinbao Mu contributed to administrative, technical, or material support; study supervision.

Wenjie Zhang contributed to critical revision of the manuscript for important intellectual content.

Min Zhi contributed to study concept and design, obtained funding, and administrative, technical, or material support; study supervision.

Jiachen Sun contributed to study concept and design, data acquisition, data analysis and interpretation, critical revision of the manuscript for important intellectual content, and administrative, technical, or material support; study supervision.

All authors approved the final manuscript.","Lu Y, Wu J, Hu M, Zhong Q, Er L, Shi H, Cheng W, Chen K, Liu Y, Qiu B, Xu Q, Lai G, Wang Y, Luo Y, Mu J, Zhang W, Zhi M, Sun J"
PMC10651383,publication/journal,Gut and Liver,Gut and liver
PMC8298161,publication/title,Not enough information is available.,Use of Deep-Learning Genomics to Discriminate Healthy Individuals from Those with Alzheimer's Disease or Mild Cognitive Impairment.
PMC8298161,publication/authors,Not enough information is available.,"Li L, Yang Y, Zhang Q, Wang J, Jiang J, Neuroimaging Initiative AD"
PMC8298161,publication/journal,Behavioural Neurology,Behavioural neurology
PMC8298161,publication/doi,Not enough information is available.,10.1155/2021/3359103
PMC11377909,publication/title,"Detection of Mild Cognitive Impairment From Non-Semantic, Acoustic Voice Features: The Framingham Heart Study","Detection of Mild Cognitive Impairment From Non-Semantic, Acoustic Voice Features: The Framingham Heart Study."
