title	shortid	mapped_pmcid	mapped_pmid	pdf_downloadable	supplementary_downloadable	supplementary_file_count	supplementary_file_list	processed_json_filename	actual_file_count	main_pdf_filename	is_folder_empty	folder_size_mb	flag_needs_processing
An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.	36d464edpz	PMC3967921	24675637.0	yes	yes	2	PMC3967921_main.pdf; PMC3967921.tar.gz	PMC3967921.json	1	PMC3967921_main.pdf	False	2.17	False
What do all the (human) micro-RNAs do?	w5mge5bmyl	PMC4289375	25404408.0	yes	yes	4	12864_2014_6856_MOESM2_ESM.xlsx; 12864_2014_6856_MOESM1_ESM.pdf; PMC4289375_main.pdf; 12864_2014_Article_6856.pdf	PMC4289375.json	2	PMC4289375_main.pdf	False	2.39	False
Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning	jqi03r1d0i		26213851.0	no	no	0							False
Classification of pallidal oscillations with increasing parkinsonian severity.	f4zymru581	PMC4507953	25878156.0	no	no	0							False
Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.	7hxvmu9cij	PMC4315436	25646976.0	yes	yes	4	pcbi.1004067.s003.docx; PMC4315436_main.pdf; pcbi.1004067.pdf; pcbi.1004067.s004.docx	PMC4315436.json	1	PMC4315436_main.pdf	False	3.46	False
Performance of case-control rare copy number variation annotation in classification of autism.	0jrk3ke80f	PMC4315323	25783485.0	yes	yes	7	1755-8794-8-S1-S7-S5.xlsx; PMC4315323_main.pdf; 1755-8794-8-S1-S7-S1.pdf; 1755-8794-8-S1-S7-S3.txt; 1755-8794-8-S1-S7-S4.txt; 1755-8794-8-S1-S7.pdf; 1755-8794-8-S1-S7-S2.xlsx	PMC4315323.json	2	PMC4315323_main.pdf	False	2.32	False
KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	74z8knxsmc	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	PMC4606520.json	1	PMC4606520_main.pdf	False	0.7	False
PATBox: A Toolbox for Classification and Analysis of P-Type ATPases.	5i5yt6gjy3	PMC4589233	26422234.0	yes	yes	2	PMC4589233_main.pdf; pone.0139571.pdf	PMC4589233.json	1	PMC4589233_main.pdf	False	0.26	False
KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	r3o9d6vk1p	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	PMC4606520.json	1	PMC4606520_main.pdf	False	0.7	False
A Ranking Approach to Genomic Selection.	4ecj3a4lnj	PMC4466774	26068103.0	yes	yes	2	PMC4466774_main.pdf; pone.0128570.pdf	PMC4466774.json	1	PMC4466774_main.pdf	False	1.42	False
A three-gene panel that distinguishes benign from malignant thyroid nodules.	0mlbkqclbr		25175491.0	no	no	0							False
KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	r7jsdtsoxh	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	PMC4606520.json	1	PMC4606520_main.pdf	False	0.7	False
Machine learning assisted design of highly active peptides for drug discovery.	nlsxj0478u	PMC4388847	25849257.0	yes	yes	3	pcbi.1004074.s001.pdf; pcbi.1004074.pdf; PMC4388847_main.pdf	PMC4388847.json	2	PMC4388847_main.pdf	False	0.88	False
Classification of pallidal oscillations with increasing parkinsonian severity.	duas5qkjag	PMC4507953	25878156.0	no	no	0							False
Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.	p9igs00nw2	PMC4706063	26834994.0	yes	yes	2	f1000research-4-11510.pdf; PMC4706063_main.pdf	PMC4706063.json	1	PMC4706063_main.pdf	False	3.15	False
DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences	u5wbqo3nr4	PMC4908364	27307636.0	yes	yes	4	btw280.pdf; PMC4908364_main.pdf; supp_32_12_i341__index.html; supp_btw280_Kurgan.29.sup.pdf	PMC4908364.json	2	PMC4908364_main.pdf	False	1.37	False
Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs	cvu6djmvfq		27898976.0	no	no	0							False
Comparative genomics of European avian pathogenic E. Coli (APEC)	23rrtkglve	PMC5120500	27875980.0	yes	yes	6	12864_2016_3289_MOESM3_ESM.xlsx; 12864_2016_3289_MOESM2_ESM.xlsx; 12864_2016_3289_MOESM4_ESM.pdf; 12864_2016_3289_MOESM1_ESM.xlsx; 12864_2016_Article_3289.pdf; PMC5120500_main.pdf	PMC5120500.json	2	PMC5120500_main.pdf	False	6.46	False
Cox process representation and inference for stochastic reaction-diffusion processes.	yirxngqbuc	PMC4894951	27222432.0	yes	yes	2	PMC4894951_main.pdf; PMC4894951.tar.gz	PMC4894951.json	1	PMC4894951_main.pdf	False	1.25	False
Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.	xyv3h983ib	PMC5113897	27855170.0	yes	yes	4	pone.0164649.s003.xlsx; PMC5113897_main.pdf; pone.0164649.pdf; pone.0164649.s002.xlsx	PMC5113897.json	1	PMC5113897_main.pdf	False	1.79	False
Machine Learning for Characterization of Insect Vector Feeding.	8ockqu6jl9	PMC5104375	27832081.0	yes	yes	2	PMC5104375_main.pdf; pcbi.1005158.pdf	PMC5104375.json	1	PMC5104375_main.pdf	False	2.67	False
Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.	3htxdzl6gy	PMC5034704	27488918.0	yes	yes	1	PMC5034704_main.pdf	PMC5034704.json	1	PMC5034704_main.pdf	False	1.79	False
A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.	o94lxlja8t		27491922.0	no	no	0							False
High-Content Analysis of Breast Cancer Using Single-Cell Deep Transfer Learning.	wd9oesbckf		26746583.0	no	no	0							False
A D3R prospective evaluation of machine learning for protein-ligand scoring.	2imglukj27	PMC5079830	27592011.0	yes	yes	1	PMC5079830_main.pdf	PMC5079830.json	1	PMC5079830_main.pdf	False	3.69	False
Deep biomarkers of human aging: Application of deep neural networks to biomarker development.	0qudu672ba	PMC4931851	27191382.0	yes	yes	3	PMC4931851_main.pdf; aging-08-1021-s001.pdf; aging-08-1021.pdf	PMC4931851.json	2	PMC4931851_main.pdf	False	3.4	False
Accurate contact predictions using covariation techniques and machine learning.	m8bml54z62	PMC5042084	26205532.0	yes	yes	2	PMC5042084_main.pdf; PROT-84-145.pdf	PMC5042084.json	1	PMC5042084_main.pdf	False	0.29	False
Reconstructing Causal Biological Networks through Active Learning.	ftglxzast4	PMC4773135	26930205.0	yes	yes	2	PMC4773135_main.pdf; pone.0150611.pdf	PMC4773135.json	1	PMC4773135_main.pdf	False	0.64	False
The Virtual Screening of the Drug Protein with a Few Crystal Structures Based on the Adaboost-SVM.	2t5i3s7g3y	PMC4834164	27127534.0	yes	yes	2	CMMM2016-4809831.pdf; PMC4834164_main.pdf	PMC4834164.json	1	PMC4834164_main.pdf	False	0.9	False
Machine Learning to Improve the Effectiveness of ANRS in Predicting HIV Drug Resistance	otyepo566r	PMC5688026	29181236.0	yes	yes	2	hir-23-271.pdf; PMC5688026_main.pdf	PMC5688026.json	1	PMC5688026_main.pdf	False	1.39	False
NeBcon: Protein contact map prediction using neural network training coupled with naïve Bayes classifiers	6jexahy331	PMC5860114	28369334.0	yes	yes	1	PMC5860114_main.pdf	PMC5860114.json	1	PMC5860114_main.pdf	False	0.36	False
Gating mass cytometry data by deep learning.	nzflw09djs	PMC5860171	29036374.0	yes	yes	1	PMC5860171_main.pdf	PMC5860171.json	1	PMC5860171_main.pdf	False	0.69	False
Large-scale structure prediction by improved contact predictions and model quality assessment.	28yy20yr51	PMC5870574	28881974.0	yes	yes	2	btx239.pdf; PMC5870574_main.pdf	PMC5870574.json	1	PMC5870574_main.pdf	False	0.59	False
Changes and classification in myocardial contractile function in the left ventricle following acute myocardial infarction.	oi6cru1897	PMC5550971	28747397.0	yes	yes	3	rsif20170203supp1.pdf; rsif20170203.pdf; PMC5550971_main.pdf	PMC5550971.json	2	PMC5550971_main.pdf	False	2.27	False
Hidden Markov modeling of frequency-following responses to Mandarin lexical tones.	0yzdxjimwz	PMC5610945	28807860.0	yes	yes	1	PMC5610945_main.pdf	PMC5610945.json	1	PMC5610945_main.pdf	False	1.63	False
From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	8ltvqe2m93	PMC5650527	28624633.0	yes	yes	1	PMC5650527_main.pdf	PMC5650527.json	1	PMC5650527_main.pdf	False	1.39	False
A boosting approach for prediction of protein-RNA binding residues.	acyudepk6j	PMC5773889	29219069.0	yes	yes	2	PMC5773889_main.pdf; 12859_2017_Article_1879.pdf	PMC5773889.json	1	PMC5773889_main.pdf	False	1.77	False
Neural Circuit Inference from Function to Structure.	909naoy87e	PMC5821114	28065610.0	yes	yes	1	PMC5821114_main.pdf	PMC5821114.json	1	PMC5821114_main.pdf	False	1.25	False
DeepBipolar: Identifying genomic mutations for bipolar disorder via deep learning.	ek6yatpcos	PMC5656045	28600868.0	yes	yes	1	PMC5656045_main.pdf	PMC5656045.json	1	PMC5656045_main.pdf	False	2.24	False
From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	5a9ger6xi3	PMC5650527	28624633.0	yes	yes	1	PMC5650527_main.pdf	PMC5650527.json	1	PMC5650527_main.pdf	False	1.39	False
Classification and analysis of a large collection of in vivo bioassay descriptions.	b171clx1jy	PMC5517062	28678787.0	yes	yes	10	pcbi.1005641.s005.xlsx; pcbi.1005641.s008.xlsx; pcbi.1005641.s006.xlsx; pcbi.1005641.s002.pdf; PMC5517062_main.pdf; pcbi.1005641.s007.xlsx; pcbi.1005641.s003.xlsx; pcbi.1005641.pdf; pcbi.1005641.s001.docx; pcbi.1005641.s004.xlsx	PMC5517062.json	2	PMC5517062_main.pdf	False	15.69	False
Supervised learning in spiking neural networks with FORCE training.	84zp8aovt4	PMC5738356	29263361.0	yes	yes	5	41467_2017_1827_MOESM3_ESM.pdf; 41467_2017_1827_MOESM1_ESM.pdf; 41467_2017_1827_MOESM2_ESM.pdf; 41467_2017_Article_1827.pdf; PMC5738356_main.pdf	PMC5738356.json	4	PMC5738356_main.pdf	False	17.3	False
Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.	2so9xiaxer	PMC5775817	27362985.0	yes	yes	1	PMC5775817_main.pdf	PMC5775817.json	1	PMC5775817_main.pdf	False	2.01	False
Predicting Ascospore Release of Monilinia vaccinii-corymbosi of Blueberry with Machine Learning.	lrlwou3dt7		28696170.0	no	no	0							False
OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.	ie0f3buyr4		26957000.0	no	no	0							False
Structure based classification for bile salt export pump (BSEP) inhibitors using comparative structural modeling of human BSEP	2g7fzlkala	PMC5487762	28527154.0	yes	yes	3	PMC5487762_main.pdf; 10822_2017_21_MOESM1_ESM.docx; 10822_2017_Article_21.pdf	PMC5487762.json	1	PMC5487762_main.pdf	False	5.29	False
P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	toe45v1h7a	PMC6091426	30109435.0	yes	yes	3	13321_2018_285_MOESM1_ESM.pdf; 13321_2018_Article_285.pdf; PMC6091426_main.pdf	PMC6091426.json	2	PMC6091426_main.pdf	False	1.8	False
Prediction of Drug-Likeness Using Deep Autoencoder Neural Networks	6qvzmhfton	PMC6277570	30538725.0	yes	yes	2	fgene-09-00585.pdf; PMC6277570_main.pdf	PMC6277570.json	1	PMC6277570_main.pdf	False	2.09	False
Computational Protein Design with Deep Learning Neural Networks	rejm27trh8	PMC5910428	29679026.0	yes	yes	3	41598_2018_24760_MOESM1_ESM.docx; PMC5910428_main.pdf; 41598_2018_Article_24760.pdf	PMC5910428.json	1	PMC5910428_main.pdf	False	2.14	False
P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	iblymem5cf	PMC6091426	30109435.0	yes	yes	3	13321_2018_285_MOESM1_ESM.pdf; 13321_2018_Article_285.pdf; PMC6091426_main.pdf	PMC6091426.json	2	PMC6091426_main.pdf	False	1.8	False
Precision Oncology beyond Targeted Therapy: Combining Omics Data with Machine Learning Matches the Majority of Cancer Cells to Effective Therapeutics.	c80vqcn356	PMC5821274	29133589.0	yes	yes	1	PMC5821274_main.pdf	PMC5821274.json	1	PMC5821274_main.pdf	False	2.37	False
Artificial Intelligence Understands Peptide Observability and Assists With Absolute Protein Quantification.	v1vwcbzzui	PMC6242780	30483279.0	yes	yes	2	PMC6242780_main.pdf; fpls-09-01559.pdf	PMC6242780.json	1	PMC6242780_main.pdf	False	2.24	False
Cross talk of chromosome instability, CpG island methylator phenotype and mismatch repair in colorectal cancer.	9m31lscgpm	PMC6036478	30008861.0	yes	yes	2	PMC6036478_main.pdf; ol-16-02-1736.pdf	PMC6036478.json	1	PMC6036478_main.pdf	False	1.35	False
Prediction of plant lncRNA by ensemble machine learning classifiers.	od7rdaz7w7	PMC5930664	29720103.0	yes	yes	5	12864_2018_Article_4665.pdf; 12864_2018_4665_MOESM4_ESM.pdf; PMC5930664_main.pdf; 12864_2018_4665_MOESM3_ESM.pdf; 12864_2018_4665_MOESM2_ESM.txt	PMC5930664.json	3	PMC5930664_main.pdf	False	0.98	False
LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.	qxfdrs4tuj	PMC6214495	30388122.0	yes	yes	11	pone.0204371.s004.xlsx; pone.0204371.s007.xlsx; pone.0204371.s008.xlsx; pone.0204371.s009.xlsx; pone.0204371.s001.docx; pone.0204371.s002.xlsx; pone.0204371.s005.xlsx; pone.0204371.s006.xlsx; pone.0204371.pdf; PMC6214495_main.pdf; pone.0204371.s003.xlsx	PMC6214495.json	1	PMC6214495_main.pdf	False	1.26	False
Predicting bacterial growth conditions from mRNA and protein abundances.	vecnt31t10	PMC6214550	30388153.0	yes	yes	3	pone.0206634.pdf; PMC6214550_main.pdf; pone.0206634.s001.xlsx	PMC6214550.json	1	PMC6214550_main.pdf	False	2.27	False
Distinct epigenomic patterns are associated with haploinsufficiency and predict risk genes of developmental disorders.	217brrych3	PMC5976622	29849042.0	yes	yes	7	41467_2018_4552_MOESM5_ESM.xlsx; 41467_2018_4552_MOESM4_ESM.xlsx; 41467_2018_Article_4552.pdf; PMC5976622_main.pdf; 41467_2018_4552_MOESM3_ESM.xlsx; 41467_2018_4552_MOESM2_ESM.pdf; 41467_2018_4552_MOESM1_ESM.pdf	PMC5976622.json	3	PMC5976622_main.pdf	False	3.03	False
Prediction of plant lncRNA by ensemble machine learning classifiers.	ixx5zlqxpf	PMC5930664	29720103.0	yes	yes	5	12864_2018_Article_4665.pdf; 12864_2018_4665_MOESM4_ESM.pdf; PMC5930664_main.pdf; 12864_2018_4665_MOESM3_ESM.pdf; 12864_2018_4665_MOESM2_ESM.txt	PMC5930664.json	3	PMC5930664_main.pdf	False	0.98	False
Multi-omic and multi-view clustering algorithms: review and cancer benchmark.	q3f9qsuitm	PMC6237755	30295871.0	yes	yes	2	PMC6237755_main.pdf; gky889.pdf	PMC6237755.json	1	PMC6237755_main.pdf	False	1.15	False
An Extreme Learning Machine Based on Artificial Immune System.	mewdwg9y4z	PMC6036855	30046299.0	yes	yes	2	PMC6036855_main.pdf; CIN2018-3635845.pdf	PMC6036855.json	1	PMC6036855_main.pdf	False	0.75	False
Interleukin 1 receptor (IL-1R1) activation exacerbates toxin-induced acute kidney injury.	3ggc5le2qz	PMC6172579	29790392.0	no	no	0							False
SPOT-Disorder2: Improved Protein Intrinsic Disorder Prediction by Ensembled Deep Learning	8mjjeoyqtq	PMC7212484	32173600.0	yes	yes	7	mmc3.docx; mmc4.docx; PMC7212484_main.pdf; main.pdf; mmc2.docx; mmc5.docx; mmc1.docx	PMC7212484.json	1	PMC7212484_main.pdf	False	1.82	False
SPOT-Disorder2: Improved Protein Intrinsic Disorder Prediction by Ensembled Deep Learning	w55oz05fks	PMC7212484	32173600.0	yes	yes	7	mmc3.docx; mmc4.docx; PMC7212484_main.pdf; main.pdf; mmc2.docx; mmc5.docx; mmc1.docx	PMC7212484.json	1	PMC7212484_main.pdf	False	1.82	False
Pathogenicity and functional impact of non-frameshifting insertion/deletion variation in the human genome	5bz7gjjsah	PMC6594643	31199787.0	yes	yes	2	pcbi.1007112.pdf; PMC6594643_main.pdf	PMC6594643.json	1	PMC6594643_main.pdf	False	1.17	False
"Modeling Physico-Chemical ADMET Endpoints with Multitask Graph Convolutional Networks
"	3iham0l32l	PMC6982787	31877719.0	yes	yes	3	PMC6982787_main.pdf; molecules-25-00044.pdf; molecules-25-00044-s001.pdf	PMC6982787.json	2	PMC6982787_main.pdf	False	1.6	False
Metabolome-based signature of disease pathology in MS.	vs7yv4y6i5	PMC6548586	30877925.0	yes	yes	1	PMC6548586_main.pdf	PMC6548586.json	1	PMC6548586_main.pdf	False	0.63	False
A directed learning strategy integrating multiple omic data improves genomic prediction.	v1rge4dd87	PMC6737184	30950198.0	yes	yes	4	PBI-17-2011-s002.xlsx; PBI-17-2011.pdf; PMC6737184_main.pdf; PBI-17-2011-s001.xlsx	PMC6737184.json	1	PMC6737184_main.pdf	False	1.63	False
Supervised machine learning for the prediction of infection on admission to hospital: a prospective observational cohort study.	ek1c4fvz6e		30590545.0	no	no	0							False
Machine learning models for early sepsis recognition in the neonatal intensive care unit using readily available electronic health record data.	hwprilha6h	PMC6386402	30794638.0	yes	yes	10	pone.0212665.s006.docx; pone.0212665.s001.docx; pone.0212665.s008.csv; pone.0212665.s004.docx; pone.0212665.s007.csv; pone.0212665.s005.docx; pone.0212665.s002.docx; pone.0212665.s003.docx; PMC6386402_main.pdf; pone.0212665.pdf	PMC6386402.json	1	PMC6386402_main.pdf	False	2.04	False
Combining handcrafted features with latent variables in machine learning for prediction of radiation-induced lung damage.	zwmdye1tg8	PMC6510637	30891794.0	yes	yes	1	PMC6510637_main.pdf	PMC6510637.json	1	PMC6510637_main.pdf	False	2.89	False
A reference map of murine cardiac transcription factor chromatin occupancy identifies dynamic and conserved enhancers.	m6t40hhxhx	PMC6817842	31659164.0	yes	yes	11	41467_2019_12812_MOESM9_ESM.pdf; 41467_2019_12812_MOESM5_ESM.xlsx; PMC6817842_main.pdf; 41467_2019_12812_MOESM4_ESM.xlsx; 41467_2019_Article_12812.pdf; 41467_2019_12812_MOESM8_ESM.xlsx; 41467_2019_12812_MOESM1_ESM.pdf; 41467_2019_12812_MOESM6_ESM.xlsx; 41467_2019_12812_MOESM7_ESM.xlsx; 41467_2019_12812_MOESM2_ESM.pdf; 41467_2019_12812_MOESM3_ESM.pdf	PMC6817842.json	5	PMC6817842_main.pdf	False	137.7	False
Predicting Drug-Disease Associations via Using Gaussian Interaction Profile and Kernel-Based Autoencoder.	9t9rwycfgl	PMC6732622	31534955.0	yes	yes	2	PMC6732622_main.pdf; BMRI2019-2426958.pdf	PMC6732622.json	1	PMC6732622_main.pdf	False	1.35	False
Machine learning identifies unaffected first-degree relatives with functional network patterns and cognitive impairment similar to those of schizophrenia patients.	nl91j0uju5	PMC6679781	31148311.0	yes	yes	1	PMC6679781_main.pdf	PMC6679781.json	1	PMC6679781_main.pdf	False	2.87	False
Patient-specific cancer genes contribute to recurrently perturbed pathways and establish therapeutic vulnerabilities in esophageal adenocarcinoma.	1r4k25lx15	PMC6629660	31308377.0	yes	yes	11	PMC6629660_main.pdf; 41467_2019_10898_MOESM1_ESM.pdf; 41467_2019_10898_MOESM2_ESM.pdf; 41467_2019_10898_MOESM6_ESM.xlsx; 41467_2019_10898_MOESM3_ESM.pdf; 41467_2019_10898_MOESM8_ESM.pdf; 41467_2019_10898_MOESM4_ESM.xlsx; 41467_2019_10898_MOESM7_ESM.xlsx; 41467_2019_10898_MOESM5_ESM.xlsx; 41467_2019_Article_10898.pdf; 41467_2019_10898_MOESM9_ESM.xlsx	PMC6629660.json	6	PMC6629660_main.pdf	False	10.79	False
Identification of lung cancer gene markers through kernel maximum mean discrepancy and information entropy.	b9ln75l2jr	PMC6923882	31856830.0	yes	yes	4	12920_2019_630_MOESM2_ESM.pdf; 12920_2019_630_MOESM1_ESM.xlsx; PMC6923882_main.pdf; 12920_2019_Article_630.pdf	PMC6923882.json	2	PMC6923882_main.pdf	False	1.55	False
scReClassify: post hoc cell type classification of single-cell rNA-seq data.	kbejtqvi3h	PMC6929456	31874628.0	yes	yes	2	PMC6929456_main.pdf; 12864_2019_Article_6305.pdf	PMC6929456.json	1	PMC6929456_main.pdf	False	1.85	False
Benchmarking network propagation methods for disease gene identification.	imwu5xtkc9	PMC6743778	31479437.0	yes	yes	3	PMC6743778_main.pdf; pcbi.1007276.s001.pdf; pcbi.1007276.pdf	PMC6743778.json	2	PMC6743778_main.pdf	False	5.45	False
Learning protein constitutive motifs from sequence data.	v9brv84km1	PMC6436896	30857591.0	yes	yes	2	PMC6436896.tar.gz; PMC6436896_main.pdf	PMC6436896.json	1	PMC6436896_main.pdf	False	16.77	False
Estimation of the breadth of CD4bs targeting HIV antibodies by molecular modeling and machine learning.	nfh7iw73hz	PMC6457539	30970017.0	yes	yes	3	pcbi.1006954.pdf; pcbi.1006954.s001.pdf; PMC6457539_main.pdf	PMC6457539.json	2	PMC6457539_main.pdf	False	3.02	False
EpiSmokEr: a robust classifier to determine smoking status from DNA methylation data.	dnrghw65xy		31466478.0	no	no	0							False
IRESpy: an XGBoost model for prediction of internal ribosome entry sites.	i4p484v6d2	PMC6664791	31362694.0	yes	yes	3	PMC6664791_main.pdf; 12859_2019_2999_MOESM1_ESM.docx; 12859_2019_Article_2999.pdf	PMC6664791.json	1	PMC6664791_main.pdf	False	3.42	False
A modeling and machine learning approach to ECG feature engineering for the detection of ischemia using pseudo-ECG.	lohsb5kzme	PMC6690680	31404081.0	yes	yes	4	PMC6690680_main.pdf; pone.0220294.pdf; pone.0220294.s002.pdf; pone.0220294.s001.pdf	PMC6690680.json	3	PMC6690680_main.pdf	False	2.13	False
Identifying mutation positions in all segments of influenza genome enables better differentiation between pandemic and seasonal strains.	iugmhjifoe		30769139.0	no	no	0							False
