Review_Reason	bs_completeness	update	publication/title	publication/doi	_id/$oid	dataset/availability	dataset/provenance	dataset/redundancy	dataset/splits	dataset/done	dataset/skip	evaluation/availability	evaluation/comparison	evaluation/confidence	evaluation/measure	evaluation/method	evaluation/done	evaluation/skip	model/availability	model/duration	model/interpretability	model/output	model/done	model/skip	optimization/algorithm	optimization/config	optimization/encoding	optimization/features	optimization/fitting	optimization/meta	optimization/parameters	optimization/regularization	optimization/done	optimization/skip	user/$oid	publication/pmid	publication/pmcid	publication/updated	publication/authors	publication/journal	publication/year	publication/done	publication/skip	publication/tags	public	created/$date	updated/$date	uuid	reviewState	shortid
TITLE_MATCH 	44		External validation of machine learning models - registered models and adaptive sample splitting	pending	67af37c51f0965481b0c6de1	"1. ABIDE: Available, URL: https://osf.io/hc4md Creative Common CC BY-SA 3.0 License
2. HCP: Available under request. Data and custom license available at https://www.humanconnectome.org/ 
3. IXI: Available, URL: https://zenodo.org/records/11635168 Creative Common CC BY-SA 3.0 License
4. BCW: Available, URL: https://www.kaggle.com/datasets/uciml/breast-cancer-wisconsin-data Creative Common CC BY-NC-SA 4.0 License"	"Four openly available datasets have been used in our study:

1. Autism Brain Imaging Data Exchange (ABIDE). 866 participants (Autism spectrum disorder = 402; Neurotypical controls = 464). Preprocessed data published on October 30, 2018.

2. Human Connectome Project (HCP). 999 healthy participants. HCP1200 released on March 01, 2017

3. Information Extraction from Images (IXI). 600 structural MRI images of healthy individuals.

4. Breast Cancer Wisconsin (BCW). 569 samples for 30 diagnostic features computed from digitized images of fine needle aspirates (FNA) of breast masses (malignant = 357, benign = 212). Released on October 31, 1995."	The splits are determined based on the chosen splitting strategy, since our focus is not on the prediction outcome itself but rather on comparing the performance of the fixed splitting strategies with the adaptive one. Redundancy is naturally reduced by training a different model on each sample size.	"Important: We use our proposed method (AdaptiveSplit) to find the optimal sample splitting, compared to more common, fixed, splitting strategies. 

1. for the ABIDE dataset:

Sample size budget: 400, 442, 489, 542, 599

AdaptiveSplit: 
41% training, 59 % test (with 400 total samples)
49% training, 51 % test (with 442 total samples) 
59% training, 41 % test (with 489 total samples)
71% training, 29 % test (with 542 total samples)
82% training, 18 % test (with 599 total samples)

Pareto Split: 80% train, 20% test (on all sample size budgets)
90/10 Split: 90% train, 10% test (on all sample size budgets)
Half Split: 50% train, 50% test (on all sample size budgets)

2. for the HCP dataset:

Sample size budget: 242, 272, 305, 343, 384

AdaptiveSplit: 
44% training, 56 % test (with 242 total samples)
53% training, 47 % test (with 272 total samples) 
64% training, 36 % test (with 305 total samples)
76% training, 24 % test (with 343 total samples)
89% training, 11 % test (with 384 total samples)

Pareto Split: 80% train, 20% test (on all sample size budgets)
90/10 Split: 90% train, 10% test (on all sample size budgets)
Half Split: 50% train, 50% test (on all sample size budgets)

3. for the IXI dataset:

Sample size budget: 49, 65, 86, 113, 150

AdaptiveSplit: 
21% training, 79 % test (with 49 total samples)
25% training, 75 % test (with 65 total samples) 
40% training, 60 % test (with 86 total samples)
61% training, 39 % test (with 113 total samples)
89% training, 11 % test (with 150 total samples)

Pareto Split: 80% train, 20% test (on all sample size budgets)
90/10 Split: 90% train, 10% test (on all sample size budgets)
Half Split: 50% train, 50% test (on all sample size budgets)

4. for the BCW dataset:

Sample size budget: 49, 65, 86, 113, 150

AdaptiveSplit: 
21% training, 79 % test (with 49 total samples)
25% training, 75 % test (with 65 total samples) 
40% training, 60 % test (with 86 total samples)
61% training, 39 % test (with 113 total samples)
89% training, 11 % test (with 150 total samples)

Pareto Split: 80% train, 20% test (on all sample size budgets)
90/10 Split: 90% train, 10% test (on all sample size budgets)
Half Split: 50% train, 50% test (on all sample size budgets)"	4.0	0.0	A dedicated repository with analysis code is present at https://github.com/gallg/AdaptiveSplitAnalysis	We compare Ridge Regression with AdaptiveSplit against Ridge with fixed splitting methods: Pareto Split, Half Split and 90/10 Split	we run each model on 100 different permutation of the data for each sample size budget. Final results are shown with using SEM as confidence intervals (See Fig.3 of the manuscript)	"1. negative mean squared error for regression tasks
2. accuracy for classification tasks
3. p-values to evaluate the statistical significance"	cross-validation, novel experiments	5.0	0.0	The maintained version of the software, for general use, is available in the following GitHub repository: https://github.com/pni-lab/adaptivesplit	Depends on the adaptivesplit package configuration file. The program allows a fast mode to speed up computation but lowering precision.	The models are simple enough to allow intepretation. However, interpretation of the models is not important for our study	We fit a Ridge model for each dataset. We have two regression tasks (for the HCP and IXI datasets) and two classification tasks (for the ABIDE and BCW datasets)	4.0	0.0	"RidgeCV, as implemented in Scikit-Learn
https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.RidgeCV.html"	configuration files and analysis scripts with used parameters are present in the following GitHub repository: https://github.com/pni-lab/AdaptiveSplitAnalysis	All features are standard scaled.	All the features present in each dataset.	"We use only the default ""alphas"" parameter from RidgeCV. Overfitting is ruled out by cross validation."	No	"On each dataset we fit a simple Ridge Regressor (HCP, IXI) / Classifier (ABIDE, BCW) with a default alphas parameter:

RidgeCV scoring = “neg_mean_absolute_error” (for regression datasets: HCP, IXI); “accuracy” (for classification datasets: ABIDE, BCW)
RidgeCV alphas = “(0.1, 1.0, 10.0)”

The Adaptivesplit package includes a configuration file with parameters that define the ""stopping rule"".
Depending on the ""stopping rule"", the adaptivesplit algorithm finds the optimal splitting strategy to define the boundaries between what can be used as training data and what can be used as external validation. This is extremely useful during prospective data acquisition. 
When the algorithm finds the optimal splitting strategy it stops (this is why we talk about ""stopping rule"").

AdaptiveSplit parameters:

min_training_sample_size = 0
max_training_sample_size = inf
target_power = 0.8
alpha = 0.05
min_score = -inf
min_relevant_score = 0
min_validation_sample_size = 12

window_size= 6
step = 1
cv = 5

bootstrap_samples = 100
power_bootstrap_samples = 1
n_jobs = -1
scoring = “neg_mean_squared error” (regression); “accuracy” (classification)
total_sample_size = highest sample size budget (depends on each dataset)"	L2 regularization, as implemented in scikit-learn's Ridge Regression	7.0	1.0	67a5eb0eedf7b6503929386c				Giuseppe Gallitto, Robert Englert, Balint Kincses, Raviteja Kotikalapudi, Jialin Li, Kevin Hoffschlag, Ulrike Bingel, Tamas Spisak	GigaScience	2025	0.0	6.0		0.0	2025-02-14T12:32:05.015Z	2025-02-14T12:32:05.015Z	d4ff70aa-eecf-4aa3-b8d9-80c1cc82b56b	undenfined	0p6q20kd4b
TITLE_MATCH DOI_MATCH 	30	2/2/2022 10:08:47	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	10.1016/j.drudis.2017.05.008		Yes, in supporting information	Yes (ChEMBL-NTD Novartis dataset and dataset from previous publication)	Yes, independent training, test and external test sets generated using sphere exclusion algorithms	Yes: N_pos and N_neg for training, test and external test sets			No	No	No	Accuracy (Acc), Sensitivity (Se), Specificity (Sp) and Balanced Classification Rate (BCR) Area Under the Accumulation Curve (AUAC); Area under the Receiver Operating Characteristic Curve (ROC); Enrichment factor (EF) and Boltzmann-enhanced discrimination of ROC (BEDROC)	Independent dataset			No	No	Black box	Classification and score based on LSSVM scores			LSSVM	No	Fragments of atoms and bonds (ISIDA Fragmentor software) scaled to the interval [0-1]	Yes: 5-25 features per model, randomly selected among 250 most informative on training dataset (removal of features returning nearly constant values (about for 99%) and selection of top-250 according to Mutual Information Quotient score (Minimal Redundancy Maximal Relevance mRMR algorithm))	No	Yes: model aggregation (ensemble modeling) and multi-criteria decision making Trained on the same dataset	2 LSSVM parameters (RBF kernel (σ2) and regularization (γ))  Minimization of the misclassification rate of the 10-fold cross-validated training dataset	Yes: γ parameter (LSSVM) 			6312169df3794236aa9879f4	28624633	PMC5650527		Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M.	Drug discovery today	2017									
TITLE_MATCH DOI_MATCH 	29	3/8/2022 10:24:58	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	10.1016/j.drudis.2017.05.008		Yes	Yes	Yes	Yes			Yes	Local baseline	Yes	AUR	Cross validation			Yes	No	Black box but voting schema is applied	Classification			SVM with RBF kernel	Yes	QSAR	Yes, SMILES Chem structures with 250 fragments selected by MI		No	No	Yes - intrinsic to SVM			6312169df3794236aa987a36	28624633	PMC5650527		Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M.	Drug discovery today	2017									
DOI_MATCH 	45		HVSeeker: A Deep Learning-based Method for Identification of Host and Viral DNA sequences	not yet published	6760e79869b4c4f264235d59	Yes, the data and the splits are part of the gigascience database.	The data was taken from the National Center for Biotechnology Information (NCBI) and the Integrated Microbial Genomes & Microbiomes - Viruses (IMGVR) databases. The corresponding GigaScience database contains the original data, including accession IDs	To ensure the independence of the training and test sets, we first delete duplicates in the dataset. Then, we use BLAST to remove strongly homologous sequences and create different test subsets to evaluate our models	The exact training/test splits are recorded and are part of the GigaScience database. Originally, the test data comprised 20% of the total data (565,760 original sequences) and was later downsampled for different homology conditions. To ensure a fair comparison, we created multiple test sets using different sequence homologies and report the performance on each one of them. Additionally, we use a nested 5-fold cross-validation (CV) to properly assess the quality of our optimization in the HVSeeker-protein setting (98,720 phage sequences and 122,366 bacteria sequences). Hence, during optimization, HVSeeker-protein uses another 20% of the data for validation. The different data splits used for optimization are also part of the GigaScience database.	4.0	0.0	All evaluation files, including previous test-splits and models used to achieve the performance are supplied as part of the gigascience dataset. 	We compare our method against other SOTA methods (Seeker, Rnn-VirSeeker, DeepVirFinder, PPR-Meta ) and an additional HMM baseline. The scripts used for this evaluation are part of the gigascience database. 	HVSeeker is shown to outperform other methods on various comprehensive datasets and on different performance metrics. 	We use precision, recall, accuracy and F1-score, ROC-AUC  to fairly compare different methods. 	For optimization runs we used a nested 5-fold CV, ensuring fair assessment of our results due to independent test datasets. When testing HVSeeker-DNA we additionally used subsets of our original independent test-set of different homology conditions to challenge our models. In the last step we test HVSeeker against a novel dataset based on the infant gut metagenome, showing it's utility in a practical setting.	5.0	0.0	The source code is released on github and can be found in the gigascience database aswell (MIT license included). To make it easier to run the scripts, we also supply a conda environment with instructions for easy installation. 	Executing a simple forward pass with one sequence only takes around 0.0366 seconds on a standard machine (cpu only). Prediction time is therfore neglegtible. 	As it is the case with most deep-learning methods, interpretaing the classification results is unfortunately not directly possible. 	The model performs classification. 	4.0	0.0	HVSeeker is based on established machine learning (ML) algorithms, such as LSTM and Transformer, which are known to work well with sequences and have been adapted to our specific problem	The model files, optimization schedule and paramter and hyperparameter configurations are reported and can be found in the gigascience database. 	HVSeeker relies on one-hot encoding but merges data in different ways, such as padding (cycling through the sequence until it reaches the required length), contig assembly (combining multiple shorter sequences to generate a longer sequence, then splitting it into subsequences of 1000 bp), and sliding window (using a window of 1000 bp to slide over the input DNA sequence in 100 bp steps)	Both versions of HVSeeker rely only on the sequence, the input features are therfore the nucleotides/amino acids of the input sequence. No further feature selection was performed.	We evaluate our models during training using a validation set to achieve an optimal fit of the paramters.	HVSeeker-Protein uses input from a pre-trained version of ProtBert. Since ProtBert was previously trained on a masked language task, it had not encountered a classification task prior to this study.	HVSeeker contains 1026152 trainable parameter. The number of parameter is a result of adapting the model to the training process. 	We use early stopping using a validation set and dropout to prevent overfitting to the training data. You can find details in the provided scripts. 	8.0	0.0	6760e76ddd85bd59b3841ff8	not yet published			Abdullatif Al-Najim, Sven Hauns, Van Dinh Tran, Rolf Backofen and Omer S. Alkhnbashi	GigaScience	not yet published	0.0	6.0		0.0	2024-12-17T02:53:12.396Z	2024-12-17T02:53:12.396Z	40ca4b51-f205-4b23-93ed-a95042d470e7	undenfined	igr5x3a1vs
TITLE_MATCH DOI_MATCH 	30	3/29/2022 21:41:26	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	10.1155/2015/141363		no	300 healthy individuals (Mexican Reference Genomic DNA Collection (MGDC-REF),) 43 patients with haematological malignancies (Haematology Department of Hospital Central “Dr. Ignacio Morones Prieto”)	no	no			no	no	no	𝑝 value, 𝜒2	statisctical evaluation			no	"no, the authors only described the machine, ""Weka software using a personal computer with a processor IntelCore i7with 2.3Ghz speed and 3 Gb memory."""	transparent, the authors provided biological explanation some of scenarios	classification			J48 Algorithm, A Priori Algorithm	no	no	no	no	no	no	no			6312169df3794236aa9879e5	26495028	PMC4606520		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC.	Computational and mathematical methods in medicine	2015									
TITLE_MATCH DOI_MATCH 	30	2/8/2022 15:10:18	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	10.1155/2015/141363		No	Yes (Mexican Reference Genomic DNA Collection (MGDC-REF) ). Source of data and number of positives and negatives given, negative dataset was used by a previous paper.	No, only training set	Yes: number of N_pos and N_neg No data splits. Only training set			Yes: confusion matrix in publication	Univariate statistical analysis (Fishers’ exact test) and decision tree classifier (J48 ID3)	Chi-squared test p-value comparison	chi-squared test	Evaluation on the training dataset			Yes (URL http://www.cs.waikato.ac.nz/~ml/weka/index.html)	No	Transparent: 24 most frequent rules generated by the apriori algorithm are detailed	Binary prediction (statistical classifier)			“A priori” algorithm	No	Yes: Presence/absence of genes	Yes (13 features)	No exclusion	No	2 parameters (minimum support threshold and confidence levels)	No			6312169df3794236aa9879f4	26495028	PMC4606520		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC.	Computational and mathematical methods in medicine	2015									
TITLE_MATCH DOI_MATCH 	26	3/8/2022 10:53:29	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	10.1155/2015/141363		No	Yes	Yes	Control & clinical sets (300 healthy individuals and 43 patients)			No	No	Yes	P-value of association				Yes	Partially	Black box (~large decision-tree)	Statistical analysis: association between features and disease			Decision tree (C4.5)	Yes	Unclear	Unclear		No					6312169df3794236aa987a36	26495028	PMC4606520		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC.	Computational and mathematical methods in medicine	2015									
TITLE_MATCH 	41		Large-scale Genomic Survey with Deep Learning-based Method Reveals Strain-Level Phage Specificity Determinants		65256a4f5cb89e9826b25659	The data will be made available upon request, subject to the approval of the authors, yet the deep-learning model trained is provided at https://figshare.com/articles/online_resource/SpikeHunter_trained_model_pth_file/23577051.	The source of the dataset is INfrastructure for a PHAge REference Database (INPHARED) provided by https://github.com/RyanCook94/inphared on Aug 1st, 2022. There are 3,659 bacteriophage genomes in this dataset. We curated 1912 tailspike protein sequences and 200732 non-tailspike protein sequences from this dataset. This data has not been used in previous papers.	To train and validate the SpikeHunter the manually curated set of tailspike proteins was first clustered into 20,274 clusters at 30% identity using CD-HIT. The dataset was divided into training, validation, and testing datasets in a ratio of 3:1:1 using the StratifiedGroupKFold function in the Scikit-learn python package, with two key objectives in mind: 1) ensuring the absence of overlaps among protein clusters, and 2) maintaining consistent ratios of positive to negative samples across the splits. As a result of this process, the training, validation and test sets are independent.	The dataset was divided into training, validation, and testing datasets in a ratio of 3:1:1. The training set includes 122,506 proteins (comprising 1,023 positive samples and 121,483 negative samples belonging to 12,170 clusters), a validation set 40,838 proteins (comprising 343 positive samples and 40,495 negative samples belonging to 4,054 clusters), and a test set 39,300 proteins (comprising 546 positive samples and 38,754 negative samples belonging to 4,050 clusters).	4.0	0.0	No. The data will be made available upon request, subject to the approval of the authors.	No 	No 	Evaluation of the model on the testing dataset demonstrated an F1-score of 0.994, precision of 0.991, recall of 0.996, specificity of 1.000, a Mathew’s correlation coefficient (MCC) of 0.994, and the area under the precision-recall curve of 0.994.	It was evaluated by an independent test dataset.	5.0	0.0	Yes, the source code is released at https://github.com/nlm-irp-jianglab/SpikeHunter.	3 days with two NVIDIA v100x GPUs.	It is a black box.	The model is a classification that outputs probabilities to indicate whether each phage protein sequence corresponds to a tailspike protein or not.	4.0	0.0	This is a deep-learning model that utilizes the pre-trained transformer protein language model ESM-2 (esm2_t33_650M_UR50D) as an embedding layer. This embedding layer is then linked to a neural network comprising three fully connected layers with 1280, 568, and 2 nodes, respectively. The output layer employs a softmax activation function to produce probabilities, indicating whether each sequence corresponds to a tailspike protein or not.	Yes. The deep-learning model trained in this study is provided at https://figshare.com/articles/online_resource/SpikeHunter_trained_model_pth_file/23577051.	Phage protein sequences were tokenized and transformed into numerical vectors using the batch_converter function in the ESM Python package (https://github.com/facebookresearch/esm).	Since the sequences are embedded as 1280-length representations using a pre-trained transformer protein language model ESM-2 during training, the number of input features before embedding varies depending on the lengths of protein sequences, while the number of features after the embedding is 1280. No feature selection strategy was performed.	The model's parameter count is approximately eight times the number of training data points. Early stopping was adopted to stop training once the model performance was no longer improved on the validation dataset for three consecutive epochs to avoid overfitting.	No. 	800698	Early stopping was adopted to stop training once the model performance was no longer improved on the validation dataset for three consecutive epochs to avoid overfitting.	8.0	0.0	652556ed92c76639b86e085d				Yiyan Yang, Keith Dufault-Thompson, Wei Yan, Tian Cai, Lei Xie, Xiaofang Jiang			0.0	6.0		0.0	2023-10-10T15:14:23.770Z	2023-10-10T18:39:07.700Z	eab9d7f1-54e0-4a31-9070-f65416e06ed2	undenfined	ggaeng30i9
TITLE_MATCH 	45		Large-scale Genomic Survey with Deep Learning-based Method Reveals Strain-Level Phage Specificity Determinants	10.1093/gigascience/giae017	670e6a0961d57eb8bca6960a	The data is accessible via GigaDB and the supplemental material.	The source of the dataset is INfrastructure for a PHAge REference Database (INPHARED) provided by https://github.com/RyanCook94/inphared on Aug 1st, 2022. There are 3,659 bacteriophage genomes in this dataset. We curated 1912 tailspike protein sequences and 200732 non-tailspike protein sequences from this dataset. This data has not been used in previous papers.	To train and validate the SpikeHunter the manually curated set of tailspike proteins was first clustered into 20,274 clusters at 30% identity using CD-HIT. The dataset was divided into training, validation, and testing datasets in a ratio of 3:1:1 using the StratifiedGroupKFold function in the Scikit-learn python package, with two key objectives in mind: 1) ensuring the absence of overlaps among protein clusters, and 2) maintaining consistent ratios of positive to negative samples across the splits. As a result of this process, the training, validation and test sets are independent.	The dataset was divided into training, validation, and testing datasets in a ratio of 3:1:1. The training set includes 122,506 proteins (comprising 1,023 positive samples and 121,483 negative samples belonging to 12,170 clusters), a validation set 40,838 proteins (comprising 343 positive samples and 40,495 negative samples belonging to 4,054 clusters), and a test set 39,300 proteins (comprising 546 positive samples and 38,754 negative samples belonging to 4,050 clusters).	4.0	0.0	Yes. The data is accessible via GigaDB and the supplemental material.	No.	No.	Evaluation of the model on the testing dataset demonstrated an F1-score of 0.994, precision of 0.991, recall of 0.996, specificity of 1.000, a Mathew’s correlation coefficient (MCC) of 0.994, and the area under the precision-recall curve of 0.994.	It was evaluated by an independent test dataset.	3.0	2.0	Yes, the source code is released at https://github.com/nlm-irp-jianglab/SpikeHunter.	3 days with two NVIDIA v100x GPUs on a high-performance computing cluster.	It is a black box.	The model is a classification that outputs probabilities to indicate whether each sequence corresponds to a tailspike protein or not.	4.0	0.0	This is a deep-learning model that utilizes the pre-trained transformer protein language model ESM-2 (esm2_t33_650M_UR50D) as an embedding layer. This embedding layer is then linked to a neural network comprising three fully connected layers with 1280, 568, and 2 nodes, respectively. The output layer employs a softmax activation function to produce probabilities, indicating whether each sequence corresponds to a tailspike protein or not.	Yes. The deep-learning model trained in this study is provided at https://figshare.com/articles/online_resource/SpikeHunter_trained_model_pth_file/23577051.	Phage protein sequences were tokenized and transformed into numerical vectors using the batch_converter function in the ESM Python package (https://github.com/facebookresearch/esm).	Since the sequences are embedded as 1280-length representations using a pre-trained transformer protein language model ESM-2 during training, the number of input features before embedding varies depending on the lengths of protein sequences, while the number of features after the embedding is 1280. No feature selection strategy was performed.	The model's parameter count is approximately eight times the number of training data points. Early stopping was adopted to stop training once the model performance was no longer improved on the validation dataset for three consecutive epochs to avoid overfitting.	This model is not a meta-predictor.	800698	Early stopping was adopted to stop training once the model performance was no longer improved on the validation dataset for three consecutive epochs to avoid overfitting.	8.0	0.0	652556ed92c76639b86e085d	38649301			Yiyan Yang, Keith Dufault-Thompson, Wei Yan, Tian Cai, Lei Xie, Xiaofang Jiang	GigaScience	2024	0.0	6.0		1.0	2024-10-15T13:11:37.812Z	2024-10-15T13:11:37.812Z	1261ec25-2b6d-4a8a-aca6-a50c235a4737	undenfined	dfyn1yvtz3
TITLE_MATCH 	41		Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences		673749794040aef5ee81efdc	Data is re-splited from other publication and also available via GitHub link.	The dataset is collected from the previous publication DeepFRI (https://github.com/flatironinstitute/DeepFRI) and HEAL (https://github.com/ZhonghuiGu/HEAL), and then we split them according to our methodology.	Both datasets meet the criterion that the sequence identity between samples from different sets is below 30%.	"1) PDBch training set: 29304, validation set: 3660, test set 3665;
2) AFch training set: 34135, validation set : 3881, test set 3981."	4.0	0.0	might be part of the GitHub repo.	We compared it with several baselines.	compare performance between methods.	AUPR and Fmax.	Independent dataset and several experiments.	5.0	0.0	Yes via GitHub.	About two hours for traning.	Hard to interpretable.	Multi-label classification.	4.0	0.0	GCN and Graph Transformer were employed for representation learning, while adversarial learning was utilized for domain alignment.	No	The paper proposed a novel model based on Graph Transformer to acquire graph-level embeddings that capture spatial semantics.	The protein features including protein sequence, distance map between residues, residue embeddings extracted from protein language model are used as input.	The number of parameters is reasonable.	No, the model used raw data as input.	About 8 million1 parameters are used.	 Yes, we implemented early stopping using a validation set. If the validation loss increased consistently for several epochs, training would be halted.	7.0	1.0	661e294a92c76639b8a6ac73				Yiwei Fu, Zhonghui Gu, Xiao Luo, Qirui Guo, Luhua Lai and Minghua Deng			0.0	6.0		0.0	2024-11-15T13:15:37.441Z	2024-11-15T13:15:37.441Z	1da2ba55-9295-4be9-8f97-44ad49894b9e	undenfined	o3fs056lry
TITLE_MATCH 	41		Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences		673749cd4040aef5ee81efe0	Data is re-splited from other publication and also available via GitHub link.	The dataset is collected from the previous publication DeepFRI (https://github.com/flatironinstitute/DeepFRI) and HEAL (https://github.com/ZhonghuiGu/HEAL), and then we split them according to our methodology.	Both datasets meet the criterion that the sequence identity between samples from different sets is below 30%.	"1) PDBch training set: 29304, validation set: 3660, test set 3665;
2) AFch training set: 34135, validation set : 3881, test set 3981."	4.0	0.0	might be part of the GitHub repo.	We compared it with several baselines.	compare performance between methods.	AUPR and Fmax.	Independent dataset and several experiments.	5.0	0.0	Yes via GitHub.	About two hours for traning.	Hard to interpretable.	Multi-label classification.	4.0	0.0	GCN and Graph Transformer were employed for representation learning, while adversarial learning was utilized for domain alignment.	No	The paper proposed a novel model based on Graph Transformer to acquire graph-level embeddings that capture spatial semantics.	The protein features including protein sequence, distance map between residues, residue embeddings extracted from protein language model are used as input.	The number of parameters is reasonable.	No, the model used raw data as input.	About 8 million1 parameters are used.	 Yes, we implemented early stopping using a validation set. If the validation loss increased consistently for several epochs, training would be halted.	7.0	1.0	661e294a92c76639b8a6ac73				Yiwei Fu, Zhonghui Gu, Xiao Luo, Qirui Guo, Luhua Lai and Minghua Deng			0.0	6.0		0.0	2024-11-15T13:17:01.570Z	2024-11-15T13:17:01.570Z	080f66a7-3cbe-4f77-aec5-c5174c0a2377	undenfined	z4txajqyy3
TITLE_MATCH 	41		Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences		67504b4469b4c4f264235690	Data is re-splited from other publication and also available via GitHub link.	The dataset is collected from the previous publication DeepFRI (https://github.com/flatironinstitute/DeepFRI) and HEAL (https://github.com/ZhonghuiGu/HEAL), and then we split them according to our methodology.	Both datasets meet the criterion that the sequence identity between samples from different sets is below 30%.	"1) PDBch training set: 29304, validation set: 3660, test set 3665;
2) AFch training set: 34135, validation set : 3881, test set 3981."	4.0	0.0	might be part of the GitHub repo.	We compared it with several baselines.	compare performance between methods.	AUPR and Fmax.	Independent dataset and several experiments.	5.0	0.0	Yes via GitHub.	About two hours for traning.	Hard to interpretable.	Multi-label classification.	4.0	0.0	GCN and Graph Transformer were employed for representation learning, while adversarial learning was utilized for domain alignment.	No	The paper proposed a novel model based on Graph Transformer to acquire graph-level embeddings that capture spatial semantics.	The protein features including protein sequence, distance map between residues, residue embeddings extracted from protein language model are used as input.	The number of parameters is reasonable.	No, the model used raw data as input.	About 8 million1 parameters are used.	 Yes, we implemented early stopping using a validation set. If the validation loss increased consistently for several epochs, training would be halted.	7.0	1.0	661e294a92c76639b8a6ac73				Yiwei Fu, Zhonghui Gu, Xiao Luo, Qirui Guo, Luhua Lai and Minghua Deng			0.0	6.0		0.0	2024-12-04T12:29:56.458Z	2024-12-04T12:29:56.458Z	66385402-93fb-421f-b9c6-0fb154d994b7	undenfined	8v069jkmlj
TITLE_MATCH 	44		Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences	10.1093/gigascience/giae093	67504d6469b4c4f264235694	Data is re-splited from other publication and also available via GitHub link.	The dataset is collected from the previous publication DeepFRI (https://github.com/flatironinstitute/DeepFRI) and HEAL (https://github.com/ZhonghuiGu/HEAL), and then we split them according to our methodology.	Both datasets meet the criterion that the sequence identity between samples from different sets is below 30%.	"1) PDBch training set: 29304, validation set: 3660, test set 3665;
2) AFch training set: 34135, validation set : 3881, test set 3981."	4.0	0.0	might be part of the GitHub repo.	We compared it with several baselines.	compare performance between methods.	AUPR and Fmax.	Independent dataset and several experiments.	5.0	0.0	Yes via GitHub.	About two hours for traning.	Hard to interpretable.	Multi-label classification.	4.0	0.0	GCN and Graph Transformer were employed for representation learning, while adversarial learning was utilized for domain alignment.	No	The paper proposed a novel model based on Graph Transformer to acquire graph-level embeddings that capture spatial semantics.	The protein features including protein sequence, distance map between residues, residue embeddings extracted from protein language model are used as input.	The number of parameters is reasonable.	No, the model used raw data as input.	About 8 million1 parameters are used.	 Yes, we implemented early stopping using a validation set. If the validation loss increased consistently for several epochs, training would be halted.	7.0	1.0	661e294a92c76639b8a6ac73				Yiwei Fu, Zhonghui Gu, Xiao Luo, Qirui Guo, Luhua Lai and Minghua Deng	GigaScience	2024	0.0	6.0		1.0	2024-12-04T12:39:00.931Z	2024-12-12T15:56:56.709Z	5d9e7df0-7107-499a-ae55-79c125fde132	undenfined	ccm469wdz5
TITLE_MATCH DOI_MATCH 	30	3/18/2022 11:23:23	m5CPred-SVM: a novel method for predicting m5C sites of RNA.	10.1186/s12859-020-03828-4		Yes: Supp data of referenced publication,  and GEO query	Yes: used by previous papers. N_pos and N_neg are given.	Yes: random selection with redundancy removal in pos and neg sets (>70% sequence identity CD-HIT)	Yes: Size of N_pos and N_neg for training and test sets.			No	Yes: RNAm5Cfinder, iRNA-m5C, iRNAm5C-PseDNC, RNAm5CPred, PEA-m5C	No. Justification based only on evaluation values difference (acc, sn, sp, pre, mcc, f1, AUROC)	 accuracy, sensitivity, specificity, precision, Matthews correlation coefficient and F1-score, AUROC	independent datasets			No. Link to project (https://zhulab.ahu.edu.cn/m5CPred-SVM/) is broken	No	~Yes: Results for different feature selections	Classification			Yes: SVM (compared to KNN, adaboost, random forest, decision tree, logistic regression and XGBoost)	No	Yes: sequence features (KNF/NC, KSNPF, PSNP, KSPSDP, PseDNC, CPD)	Yes: 6 f. Wrapper method (sequence forward selection). ten-fold cross-validation on training dataset.	No	No	Yes: box constraint and kernel scale, optimised by a grid search	Yes:  box constraint parameter			6312169df3794236aa9879f4	33126851	PMC7602301		Chen X, Xiong Y, Liu Y, Chen Y, Bi S, Zhu X.	BMC bioinformatics	2020									
