shortid	original_title	repaired_title	similarity_score
x35e8g9f2z	Single-cell ATAC-seq signal extraction and enhancement with SCATE.	Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.	0.1958041958041958
lmmde595pw	Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.	m5CPred-SVM: a novel method for predicting m5C sites of RNA.	0.19696969696969696
ixx5zlqxpf	Prediction of plant lncRNA by ensemble machine learning classifiers.	Computational analysis of pathological images enables a better diagnosis of TFE3 Xp11.2 translocation renal cell carcinoma.	0.19895287958115182
q3f9qsuitm	Multi-omic and multi-view clustering algorithms: review and cancer benchmark.	Targeted Metabolic Profiling of Urine Highlights a Potential Biomarker Panel for the Diagnosis of Alzheimer's Disease and Mild Cognitive Impairment: A Pilot Study.	0.2
vs7yv4y6i5	Metabolome-based signature of disease pathology in MS.	Predicting protein function by machine learning on amino acid sequences--a critical evaluation.	0.20134228187919462
opx6a1juph	Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.	A new efficient method to detect genetic interactions for lung cancer GWAS.	0.20253164556962025
r23jj6bm7u	Bioactivity descriptors for uncharacterized chemical compounds.	Identifying the minimum amplicon sequence depth to adequately predict classes in eDNA-based marine biomonitoring using supervised machine learning.	0.20952380952380953
yuk8w6yxtm	BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.	Gene expression profiling identified TP53<sup>Mut</sup>PIK3CA<sup>Wild</sup> as a potential biomarker for patients with triple-negative breast cancer treated with immune checkpoint inhibitors.	0.21694915254237288
mnu68fbrdn	Computational Methods for Structure-to-Function Analysis of Diet-Derived Catechins-Mediated Targeting of In Vitro Vasculogenic Mimicry.	Supervised learning in spiking neural networks with FORCE training.	0.21782178217821782
fozqqtqf2d	Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.	OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.	0.2196969696969697
agwmu9cbwt	Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.	Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.	0.21978021978021978
ebmz3cuuuq	Differential Urinary Proteome Analysis for Predicting Prognosis in Type 2 Diabetes Patients with and without Renal Dysfunction.	Neural Circuit Inference from Function to Structure.	0.22346368715083798
2t5i3s7g3y	The Virtual Screening of the Drug Protein with a Few Crystal Structures Based on the Adaboost-SVM.	Interactive alkaptonuria database: investigating clinical data to improve patient care in a rare disease.	0.22660098522167488
nzflw09djs	Gating mass cytometry data by deep learning.	Predicting Drug-Disease Associations via Using Gaussian Interaction Profile and Kernel-Based Autoencoder.	0.22818791946308725
l0wznwpm1x	Aneugen Molecular Mechanism Assay: Proof-of-Concept With 27 Reference Chemicals.	Interplay between oxidative damage, the redox status, and metabolic biomarkers during long-term fasting.	0.22826086956521738
909naoy87e	Neural Circuit Inference from Function to Structure.	A directed learning strategy integrating multiple omic data improves genomic prediction.	0.22857142857142856
hk4hhg2svs	Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.	Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.	0.22935779816513763
c80vqcn356	Precision Oncology beyond Targeted Therapy: Combining Omics Data with Machine Learning Matches the Majority of Cancer Cells to Effective Therapeutics.	EpiSmokEr: a robust classifier to determine smoking status from DNA methylation data.	0.2297872340425532
5iyltalim1	Multiplex Networks to Characterize Seizure Development in Traumatic Brain Injury Patients.	Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.	0.2332155477031802
3ggc5le2qz	Interleukin 1 receptor (IL-1R1) activation exacerbates toxin-induced acute kidney injury.	MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.	0.23481781376518218
1r4k25lx15	Patient-specific cancer genes contribute to recurrently perturbed pathways and establish therapeutic vulnerabilities in esophageal adenocarcinoma.	Hidden Markov modeling of frequency-following responses to Mandarin lexical tones.	0.23684210526315788
7cpzfr4v7k	Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.	Multi-omic and multi-view clustering algorithms: review and cancer benchmark.	0.23711340206185566
r7jsdtsoxh	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	High-Content Analysis of Breast Cancer Using Single-Cell Deep Transfer Learning.	0.23728813559322035
kr8wmng69g	Image-based pooled whole-genome CRISPRi screening for subcellular phenotypes.	COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors.	0.23776223776223776
0zyckt3df0	Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.	Comparison of Targeted and Untargeted Approaches in Breath Analysis for the Discrimination of Lung Cancer from Benign Pulmonary Diseases and Healthy Persons.	0.23826714801444043
217brrych3	Distinct epigenomic patterns are associated with haploinsufficiency and predict risk genes of developmental disorders.	Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.	0.23880597014925373
4zvfuyfezh	MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.	scReClassify: post hoc cell type classification of single-cell rNA-seq data.	0.23931623931623933
0qudu672ba	Deep biomarkers of human aging: Application of deep neural networks to biomarker development.	Artificial Intelligence Understands Peptide Observability and Assists With Absolute Protein Quantification.	0.24
k4k0b6uu1l	COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors.	Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.	0.24043715846994534
wa4n4o4gna	Improving the Prediction of Benign or Malignant Breast Masses Using a Combination of Image Biomarkers and Clinical Parameters.	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	0.242152466367713
mewdwg9y4z	An Extreme Learning Machine Based on Artificial Immune System.	Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.	0.24242424242424243
b9ln75l2jr	Identification of lung cancer gene markers through kernel maximum mean discrepancy and information entropy.	Changes and classification in myocardial contractile function in the left ventricle following acute myocardial infarction.	0.2445414847161572
43nakaafp9	A Method for Identifying Vesicle Transport Proteins Based on LibSVM and MRMD.	Intratumoral and Peritumoral Radiomics of Contrast-Enhanced CT for Prediction of Disease-Free Survival and Chemotherapy Response in Stage II/III Gastric Cancer.	0.24472573839662448
du3gc2b5fz	Computational analysis of pathological images enables a better diagnosis of TFE3 Xp11.2 translocation renal cell carcinoma.	Machine Learning for Characterization of Insect Vector Feeding.	0.24731182795698925
caz69j3bqb	Functional Connectivity Combined With a Machine Learning Algorithm Can Classify High-Risk First-Degree Relatives of Patients With Schizophrenia and Identify Correlates of Cognitive Impairments.	PmDNE: Prediction of miRNA-Disease Association Based on Network Embedding and Network Similarity Analysis.	0.24749163879598662
36d464edpz	An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.	Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.	0.24864864864864866
58820ywq9x	A new efficient method to detect genetic interactions for lung cancer GWAS.	Distinct epigenomic patterns are associated with haploinsufficiency and predict risk genes of developmental disorders.	0.24870466321243523
r3o9d6vk1p	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	Machine learning assisted design of highly active peptides for drug discovery.	0.25142857142857145
74z8knxsmc	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	What do all the (human) micro-RNAs do?	0.2518518518518518
y6rde1aew5	Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.	A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.	0.25263157894736843
p75y9vrkgn	Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.	Using neuronal extracellular vesicles and machine learning to predict cognitive deficits in HIV.	0.25396825396825395
st1jp9fgiv	Gene expression profiling identified TP53<sup>Mut</sup>PIK3CA<sup>Wild</sup> as a potential biomarker for patients with triple-negative breast cancer treated with immune checkpoint inhibitors.	Combining handcrafted features with latent variables in machine learning for prediction of radiation-induced lung damage.	0.25559105431309903
ek1c4fvz6e	Supervised machine learning for the prediction of infection on admission to hospital: a prospective observational cohort study.	An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.	0.2600896860986547
8ockqu6jl9	Machine Learning for Characterization of Insect Vector Feeding.	Gating mass cytometry data by deep learning.	0.2616822429906542
yirxngqbuc	Cox process representation and inference for stochastic reaction-diffusion processes.	The Virtual Screening of the Drug Protein with a Few Crystal Structures Based on the Adaboost-SVM.	0.26229508196721313
y6wfiqd2mt	m5CPred-SVM: a novel method for predicting m5C sites of RNA.	Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.	0.2625
v1rge4dd87	A directed learning strategy integrating multiple omic data improves genomic prediction.	The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.	0.2631578947368421
conhqw242m	Genome-wide prediction of topoisomerase IIβ binding by architectural factors and chromatin accessibility.	An Extreme Learning Machine Based on Artificial Immune System.	0.2634730538922156
ie0f3buyr4	OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.	Machine learning reveals mesenchymal breast carcinoma cell adaptation in response to matrix stiffness.	0.2642857142857143
l4cnu26i2o	Analysis of heterogeneous genomic samples using image normalization and machine learning.	Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.	0.26436781609195403
zwmdye1tg8	Combining handcrafted features with latent variables in machine learning for prediction of radiation-induced lung damage.	PATBox: A Toolbox for Classification and Analysis of P-Type ATPases.	0.26455026455026454
5a9ger6xi3	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	Benchmarking network propagation methods for disease gene identification.	0.26490066225165565
ku9smf88dv	NetiNeti: discovery of scientific names from text using machine learning methods.	Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.	0.2653061224489796
w5mge5bmyl	What do all the (human) micro-RNAs do?	PineSAP--sequence alignment and SNP identification pipeline.	0.2653061224489796
9regsp7l7u	MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.	Genome-wide prediction of topoisomerase IIβ binding by architectural factors and chromatin accessibility.	0.2661596958174905
t7m3dsf9ni	Identification of Gene Signatures and Expression Patterns During Epithelial-to-Mesenchymal Transition From Single-Cell Expression Atlas	Differential Urinary Proteome Analysis for Predicting Prognosis in Type 2 Diabetes Patients with and without Renal Dysfunction.	0.26717557251908397
xyv3h983ib	Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.	Large-scale structure prediction by improved contact predictions and model quality assessment.	0.2681564245810056
v4efeulceq	Predicting anticancer hyperfoods with graph convolutional networks.	Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.	0.2708333333333333
28yy20yr51	Large-scale structure prediction by improved contact predictions and model quality assessment.	Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.	0.27102803738317754
kbejtqvi3h	scReClassify: post hoc cell type classification of single-cell rNA-seq data.	Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.	0.27710843373493976
1de6o2bxxv	Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	Machine Learning Assisted Prediction of Prognostic Biomarkers Associated With COVID-19, Using Clinical and Proteomics Data.	0.2788844621513944
hlpvh7cgmc	Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.	Genome-Wide Analysis of RNA Decay in the Cyanobacterium <i>Synechococcus</i> sp. Strain PCC 7002.	0.28205128205128205
fv16isykca	Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.	NetiNeti: discovery of scientific names from text using machine learning methods.	0.28272251308900526
p00ybazkxy	A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.	FibroBox: a novel noninvasive tool for predicting significant liver fibrosis and cirrhosis in HBV infected patients.	0.28378378378378377
9ydtb6du8j	A machine learning PROGRAM to identify COVID-19 and other diseases from hematology data.	Aneugen Molecular Mechanism Assay: Proof-of-Concept With 27 Reference Chemicals.	0.2857142857142857
m2bccoqnyy	Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.	Integrative analysis of DNA methylation and gene expression identified cervical cancer-specific diagnostic biomarkers.	0.2857142857142857
039id1a4pi	RNA-GPS predicts high-resolution RNA subcellular localization and highlights the role of splicing.	Construction and Comprehensive Analyses of a METTL5-Associated Prognostic Signature With Immune Implication in Lung Adenocarcinomas.	0.28695652173913044
cqy67zmg5o	Integrative analysis of DNA methylation and gene expression identified cervical cancer-specific diagnostic biomarkers.	RNA-GPS predicts high-resolution RNA subcellular localization and highlights the role of splicing.	0.28703703703703703
1bn52lke7u	CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.	Bioactivity descriptors for uncharacterized chemical compounds.	0.2905027932960894
lohsb5kzme	A modeling and machine learning approach to ECG feature engineering for the detection of ischemia using pseudo-ECG.	HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.	0.2909090909090909
7kuh4ta7dl	Development of a prediction model for hypotension after induction of anesthesia using machine learning.	Predictive models for mild cognitive impairment to Alzheimer's disease conversion.	0.2918918918918919
4ord5sdl9n	A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.	0.29357798165137616
7hxvmu9cij	Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.	enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.	0.29411764705882354
3htxdzl6gy	Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.	Precision Oncology beyond Targeted Therapy: Combining Omics Data with Machine Learning Matches the Majority of Cancer Cells to Effective Therapeutics.	0.29411764705882354
i4p484v6d2	IRESpy: an XGBoost model for prediction of internal ribosome entry sites.	Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.	0.29523809523809524
82s7pnn2t8	Intratumoral and Peritumoral Radiomics of Contrast-Enhanced CT for Prediction of Disease-Free Survival and Chemotherapy Response in Stage II/III Gastric Cancer.	Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.	0.2968197879858657
htsvoi90ft	MaGIC: a machine learning tool set and web application for monoallelic gene inference from chromatin.	Machine learning model for identifying important clinical features for predicting remission in patients with rheumatoid arthritis treated with biologics.	0.2992125984251969
0zaakstjvr	Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.	Predicting Ascospore Release of Monilinia vaccinii-corymbosi of Blueberry with Machine Learning.	0.3036649214659686
dnrghw65xy	EpiSmokEr: a robust classifier to determine smoking status from DNA methylation data.	IRESpy: an XGBoost model for prediction of internal ribosome entry sites.	0.3037974683544304
21vzta5ft2	Genome-Wide Analysis of RNA Decay in the Cyanobacterium <i>Synechococcus</i> sp. Strain PCC 7002.	Metabolome-based signature of disease pathology in MS.	0.304635761589404
6ed6jt5sbi	Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.	Computational Methods for Structure-to-Function Analysis of Diet-Derived Catechins-Mediated Targeting of In Vitro Vasculogenic Mimicry.	0.312
0mlbkqclbr	A three-gene panel that distinguishes benign from malignant thyroid nodules.	Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.	0.31313131313131315
3p7aj2vzii	Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.	Gene function prediction using labeled and unlabeled data.	0.31413612565445026
b171clx1jy	Classification and analysis of a large collection of in vivo bioassay descriptions.	Patient-specific cancer genes contribute to recurrently perturbed pathways and establish therapeutic vulnerabilities in esophageal adenocarcinoma.	0.314410480349345
hl7w8279ra	Computational prediction of type III secreted proteins from gram-negative bacteria.	A three-gene panel that distinguishes benign from malignant thyroid nodules.	0.31446540880503143
p9igs00nw2	Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.	Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.	0.31693989071038253
3hsc5woplt	Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	Nasopharyngeal metabolomics and machine learning approach for the diagnosis of influenza.	0.31693989071038253
oi6cru1897	Changes and classification in myocardial contractile function in the left ventricle following acute myocardial infarction.	Identification of hormone binding proteins based on machine learning methods.	0.32160804020100503
m6t40hhxhx	A reference map of murine cardiac transcription factor chromatin occupancy identifies dynamic and conserved enhancers.	Deep biomarkers of human aging: Application of deep neural networks to biomarker development.	0.3222748815165877
ftglxzast4	Reconstructing Causal Biological Networks through Active Learning.	Machine learning identifies unaffected first-degree relatives with functional network patterns and cognitive impairment similar to those of schizophrenia patients.	0.3231441048034934
f66mtky2wk	Circulating Neutrophil Extracellular Traps Signature for Identifying Organ Involvement and Response to Glucocorticoid in Adult-Onset Still's Disease: A Machine Learning Study.	Estimation of the breadth of CD4bs targeting HIV antibodies by molecular modeling and machine learning.	0.3237410071942446
nlsxj0478u	Machine learning assisted design of highly active peptides for drug discovery.	A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.	0.3270440251572327
6ykikkh959	Identification of Novel COVID-19 Biomarkers by Multiple Feature Selection Strategies.	Brain age from the electroencephalogram of sleep.	0.3283582089552239
0yzdxjimwz	Hidden Markov modeling of frequency-following responses to Mandarin lexical tones.	Profiling of Gene Expression Biomarkers as a Classifier of Methotrexate Nonresponse in Patients With Rheumatoid Arthritis.	0.3333333333333333
3p5oxxtlts	Construction and Comprehensive Analyses of a METTL5-Associated Prognostic Signature With Immune Implication in Lung Adenocarcinomas.	Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.	0.33858267716535434
b365zwv48h	Predictive models for mild cognitive impairment to Alzheimer's disease conversion.	DeepBipolar: Identifying genomic mutations for bipolar disorder via deep learning.	0.34146341463414637
fnmlhciok7	Regression plane concept for analysing continuous cellular processes with machine learning.	Classification and analysis of a large collection of in vivo bioassay descriptions.	0.3448275862068966
2ee7tbw9bc	Interactive alkaptonuria database: investigating clinical data to improve patient care in a rare disease.	A deep learning approach to identify gene targets of a therapeutic for human splicing disorders.	0.3582089552238806
r4ntb0iqha	Profiling of Gene Expression Biomarkers as a Classifier of Methotrexate Nonresponse in Patients With Rheumatoid Arthritis.	A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.	0.35874439461883406
2imglukj27	A D3R prospective evaluation of machine learning for protein-ligand scoring.	Cross talk of chromosome instability, CpG island methylator phenotype and mismatch repair in colorectal cancer.	0.36363636363636365
qto6tkwcli	enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.	Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.	0.36477987421383645
dmb4u51v5o	Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.	The Budapest Amyloid Predictor and Its Applications.	0.3673469387755102
nfh7iw73hz	Estimation of the breadth of CD4bs targeting HIV antibodies by molecular modeling and machine learning.	Identifying mutation positions in all segments of influenza genome enables better differentiation between pandemic and seasonal strains.	0.3682008368200837
84zp8aovt4	Supervised learning in spiking neural networks with FORCE training.	Supervised machine learning for the prediction of infection on admission to hospital: a prospective observational cohort study.	0.3711340206185567
3rafrbsxow	Machine Learning Assisted Prediction of Prognostic Biomarkers Associated With COVID-19, Using Clinical and Proteomics Data.	Computational prediction of type III secreted proteins from gram-negative bacteria.	0.3786407766990291
nhcfgr8oi1	Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.	Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.	0.3790322580645161
5i5yt6gjy3	PATBox: A Toolbox for Classification and Analysis of P-Type ATPases.	Cox process representation and inference for stochastic reaction-diffusion processes.	0.3790849673202614
akj12z17yv	PmDNE: Prediction of miRNA-Disease Association Based on Network Embedding and Network Similarity Analysis.	A boosting approach for prediction of protein-RNA binding residues.	0.3815028901734104
duas5qkjag	Classification of pallidal oscillations with increasing parkinsonian severity.	Predicting bacterial growth conditions from mRNA and protein abundances.	0.38666666666666666
l9ylxpirie	Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.	Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.	0.3867403314917127
3qzygb13ir	Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.	CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.	0.4
ij8nvrxx7j	HMMPred: Accurate Prediction of DNA-Binding Proteins Based on HMM Profiles and XGBoost Feature Selection.	Improving the Prediction of Benign or Malignant Breast Masses Using a Combination of Image Biomarkers and Clinical Parameters.	0.4069264069264069
9t9rwycfgl	Predicting Drug-Disease Associations via Using Gaussian Interaction Profile and Kernel-Based Autoencoder.	A D3R prospective evaluation of machine learning for protein-ligand scoring.	0.4088397790055249
9m31lscgpm	Cross talk of chromosome instability, CpG island methylator phenotype and mismatch repair in colorectal cancer.	Analysis of heterogeneous genomic samples using image normalization and machine learning.	0.41
e1fgv8jwbe	A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.	Classification of pallidal oscillations with increasing parkinsonian severity.	0.4134078212290503
o94lxlja8t	A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.	LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.	0.4235294117647059
od7rdaz7w7	Prediction of plant lncRNA by ensemble machine learning classifiers.	Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.	0.42857142857142855
sfncop89n7	FibroBox: a novel noninvasive tool for predicting significant liver fibrosis and cirrhosis in HBV infected patients.	A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	0.4444444444444444
ek6yatpcos	DeepBipolar: Identifying genomic mutations for bipolar disorder via deep learning.	Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	0.45454545454545453
rggiypqqgz	Identification of hormone binding proteins based on machine learning methods.	Identification of Novel COVID-19 Biomarkers by Multiple Feature Selection Strategies.	0.48148148148148145
ix9p2rdt6k	A deep learning approach to identify gene targets of a therapeutic for human splicing disorders.	Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.	0.5339805825242718
2b9h7u472x	Mal-Prec: computational prediction of protein Malonylation sites via machine learning based feature integration	Mal-Prec: computational prediction of protein Malonylation sites via machine learning based feature integration : Malonylation site prediction.	0.8740157480314961
09r03h9clm	PhageGE: An interactive web-based R shiny application for exploratory analysis and visualisation of bacteriophage genomes	PhageGE: an interactive web platform for exploratory analysis and visualization of bacteriophage genomes.	0.8849557522123894
