matches_publication/journal,matches_evaluation/measure,publication_title,matches_optimization/parameters,publication_skip,publication_tags_3,public,publication_tags_2,uuid,matches_dataset/provenance,created,matches_model/duration,matches_publication/doi,matches_optimization/meta,publication_created,matches_publication/title,updated,matches_model/availability,matches_optimization/features,matches_optimization/algorithm,matches_publication/updated,score,matches_dataset/splits,matches_dataset/redundancy,publication_updated,publication_done,matches_optimization/fitting,publication_pmid,publication_tags_0,publication_journal,shortid,_id,publication_authors,matches_evaluation/method,matches_publication/tags_3,publication_tags_1,matches_publication/tags_2,matches_publication/authors,matches_evaluation/confidence,matches_evaluation/comparison,matches_evaluation/availability,publication_doi,matches_optimization/encoding,publication_year,matches_publication/tags_1,matches_optimization/regularization,matches_model/interpretability,matches_dataset/availability,matches_model/output,matches_optimization/config,matches_publication/tags_0
Int J Cancer,ROC Area,A three-gene panel that distinguishes benign from malignant thyroid nodules.,,0,,True,,b96ff1c7-58ce-47a8-8d72-140992f72b1c,"Dataset generated by the authors. Total number of instances not clearly stated (they state ""around 250""), but could be inferred from Supplementary Informations. N_pos or N_neg not reported Dataset not used in previous papers.",2022-09-01T15:16:05.445Z,,,,,A three-gene panel that distinguishes benign from malignant thyroid nodules.,2022-09-01T15:16:05.445Z,,"Not clearly stated (they say ""around 100"")","Many algorithms compared: Decision Trees, Support Vector Machine, Neural Network (multilayer perceptron), Naive Bayes, Decision Rule",05/20/2022 17:45:46,0.43,,,05/20/2022 17:45:46,0,,25175491,,Int J Cancer,0mlbkqclbr,63516fedb9c880af1f305b9c,"Zheng B, Liu J, Gu J, Lu Y, Zhang W, Li M, Lu H",Experimental Validation,,,,"Zheng B, Liu J, Gu J, Lu Y, Zhang W, Li M, Lu H",,"Comparison was made among the methods used, based on the ROC Area",,10.1002/ijc.29172,Not clearly stated. They just mention the elimination of non valid attributes (e.g. missing or NaN value for some features) and the selection of attributes through Chi Square Evaluation.,2015,,,Both transparent (e.g. Decision Trees) and black box algorithms (e.g. Neural Networks) were used.,,,,
Comput Math Methods Med,"Accuracy, confusion matrices",KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.,,0,,True,,cfb3eddf-4a2d-4640-9d9e-8650193f3286,,2022-09-01T15:16:05.445Z,500 min,,,,KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.,2022-09-01T15:16:05.445Z,,,Deep Transfer Learning (type of Deep Neural Network),03/29/2022 21:41:26,0.62,148649 cells. 1/2 source and 1/2 target,,03/29/2022 21:41:26,0,,26495028,,Comput Math Methods Med,r7jsdtsoxh,63516fedb9c880af1f305b97,"Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC",,,,,"Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC",,,,10.1155/2015/141363,,2015,,leave-one-compound-out cross-validation (LOOCV),Black box,https://bbbc.broadinstitute.org/ accession BBBC021,,,
PLoS Comput Biol,"Gini importance measure, RF-score and CavSeek",Machine learning assisted design of highly active peptides for drug discovery.,,0,,True,,1212cc08-554d-44ca-a4b8-1544c008b3ce,data were primarily collected from the online Allosteric Database (ASD),2022-09-01T15:16:05.445Z,,,,,Machine learning assisted design of highly active peptides for drug discovery.,2022-09-01T15:16:05.445Z,,"existing protein-ligand scoring function RF-Score and
a new accessibility-like algorithm called CavSeek to compute structurally-based binding descriptors and descriptors pertaining to the composition and flexibility of the clefts.",Random Forest,03/21/2022 11:49:08,0.76,"allosteric sites (59), regular sites (99), orthosteric sited (159)",selection of negative and positive for balanced datasets,03/21/2022 11:49:08,0,,25849257,,PLoS Comput Biol,nlsxj0478u,63516fedb9c880af1f305b96,"Giguère S, Laviolette F, Marchand M, Tremblay D, Moineau S, Liang X, Biron É, Corbeil J",out-of-bag set and independent test set,,,,"Giguère S, Laviolette F, Marchand M, Tremblay D, Moineau S, Liang X, Biron É, Corbeil J",Statistical confidence. The times assigned to each class are given so as to express the approximate level of confidence with which a class has been assigned from 100 repeats.,,,10.1371/journal.pcbi.1004074,random sample of (number of descriptors) ^(1/2) until the tree can no longer grow,2015,,,transparent since there is a methodological feature selection.,,,,
J Neurophysiol,F1 score,Classification of pallidal oscillations with increasing parkinsonian severity.,Kernel selected with a grid search and performance evaluation on the validation set,0,,True,,c3dde50f-83db-4289-96ec-dbfdca27594b,"Previous publication: 155 E. coli samples (102 have both mRnot reported and protein abundance data; 50 have only mRnot reported abundance data; 3 have only protein abundance data). 
External validation performed on 5 samples from a different publication.",2022-09-01T15:16:05.445Z,,,,,Classification of pallidal oscillations with increasing parkinsonian severity.,2022-09-01T15:16:05.445Z,Allanalysis scripts are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110),Number of transcripts/proteins in E.coli unspecified. Feature selection performed on training data with PCA: 10 features retained,,01/24/2022 17:28:42,0.81,"Diffent conditions are considered: carbon sources (glucose, glycerol, gluconate, and lactate),  sodium concentrations (base and high), and magnesium concentrations (low, base, and high). Different splits are therefore adopted.
Splitting: training/validation set:test set=80:20. Training:validation=75:25 (x 10 independent runs).
Semi-random split preserving the ratios of different conditions between the training/validation and the test subsets. ",No measure of independence provided,01/24/2022 17:28:42,0,"f = 10, N_train ≈ 90 - Low dimensional SVM",25878156,,J Neurophysiol,duas5qkjag,63516fedb9c880af1f305b7e,"Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD",Independent test set + externa test set,,,,"Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD","Distributions over the samples are reported, but no statistical evaluation is computed.",Different kernels are used. Random forests are used.,,10.1152/jn.00840.2014,level of transcripts/proteins expression,2015,,,Black box,All processed data are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110),,All analysis scripts are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110),
,Area Under Curve (AUC),Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.,"not reported, maybe could be inferred from the paper.",0,,True,,874bbd17-26ef-4992-9473-d3a4a22d9280,"They use different datasets in the paper.

Dataset 1: obtained composing data from different databases. miRnot reported-disease association data were retrived from the database HMDD v2.0. They added miRnot reported information using data from the miRBase database and added disease information using MeSH descriptors. The final dataset was used to compose a matrix where miRnot reported associated to a disease was labeled 1 and 0 otherwise. N, N_pos, and N_neg not reported, but could be inferred from the text. 

Dataset 2: miRnot reported-disease association data from HMDD v1.0

Dataset3: miRnot reported expression data associated with Tyroid cancer, retrived from The Cancer Genome Atlas (Project TCGA-THCA).

Dataset 1 not used in previous papers. Datasets 2 and 3 used in the community.",2022-09-01T15:16:05.444Z,,,,,Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.,2022-09-01T15:16:05.444Z,Yes for one specific case: https://github.com/alcs417/AMVML,"not reported, but could be inferred from the text.",Novel semi-supervised algorthm called AMVML (Adaptive Multi-View Multi-Label). No reason stated for not having published it before.,03/09/2022 11:07:20,0.67,"not reported, but could be inferred from the text.",,03/09/2022 11:07:20,0,,26834994,,F1000Res,p9igs00nw2,63516fedb9c880af1f305b73,"Ekins S, Freundlich JS, Clark AM, Anantpadma M, Davey RA, Madrid P","Leave-one-out validation and 5-fold cross-validation on Dataset 1
 5-fold cross validation on Dataset 3",,,,"Ekins S, Freundlich JS, Clark AM, Anantpadma M, Davey RA, Madrid P",The performarce difference is statistically significant compared to other 4 algorithms,Compared with other 4 methods for predicting miRNA-disease association. Statistical significance is given as proof for performance.,,10.12688/f1000research.7217.3,Not transformed,2015,,,"Trasparent. Prediction based on similarity between different miRNAs and different diseases. If a given miRNA is associated to a given disease D, it might be associated only with diseases similar to D","Dataset 1: No.

Dataset 2: No.

Dataset 3. Yes. URL: https://portal.gdc.cancer.gov/projects/TCGA-THCA",Regression (association probability with a disease),,
,AUC is reported.,DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences,Parameters of logistic regression were selected with 4 fold cross-validation.,0,,True,,34108257-17f7-4d3b-a08f-b68bf38e1970,"The functionally annotated data were collected from the newest release 6.0.2 of DisProt that includes 694 sequences. They excluded DP00688 sequence that was too long (>18 000 residues) to predict with the PSIPRED ( Buchan et al. , 2013 ) to generate secondary structure. They selected 204 sequences, which include 82 proteins that have annotations of DFLs and 122 proteins that do not have DFL annotations but for which all residues are annotated.",2025-04-08T16:48:58.347Z,"On human proteome (20 193 sequences with an average length of 561), DFLpred takes 40min .",doi: 10.1093/bioinformatics/btw280,The model uses output from IUPred. ,,DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences,2025-04-08T16:48:58.347Z,the webserver is available at http://biomine.ece.ualberta.ca/DFLpred/ ,"In the first layer, they represented every residue by its AA type, its physicochemical properties estimated based on the AA indices from the AAindex database ( Kawashima et al. , 2008 ), secondary structure predicted with PSIPRED ( Buchan et al. , 2013 ), intrinsically disordered and structured regions predicted with IUPred ( Dosztányi et al. , 2005 ) and sequence complexity computed with SEG. In the second layer, they generated numerical features that quantify the considered structural and sequence-based properties for each residue of the input AA sequence. they represented every residue by a feature vector calculated from a sliding window centered on that residue. The sliding window aggregates structural and sequence-based information by considering characteristics of AAs adjacent in the sequence. Consequently, they normalize values of features computed over the residues in the window by the size of the window. In total, they considered 2236 features including 40 features derived directly from the sequence, 2124 features derived from physicochemical properties of AAs quantified based on the AAindex database, 22 features generated from the putative secondary structure, 40 features from putative intrinsic disorder and structured regions and 10 features from the sequence complexity.",Logistic regression is used. ,,0.86,"They divided the set of 204 proteins into five subsets and reduced sequence similarity between these subsets with BLASTClust ( Altschul et al. , 1990 ). First, They clustered the 204 sequences with sequence identity threshold at 25% and coverage of at least 10% of the sequence length. Second, the resulting 160 clusters that include similar sequences (>25% similarity) were divided at random between the five sub sets to ensure that each subset has similar number of sequences and similar ratio of DFL to NDFL residues. Four of these subsets were used in 4-fold cross-validation protocol to empirically design the predictor, i.e. to conceptualize and select inputs for the predictive model, and to select and parameterize this model. These data constitute the training dataset. The remaining fifth subset was used as an independent (never used in the design) test dataset.","They clustered the 204 sequences with sequence identity threshold at 25% and coverage of at least 10% of the sequence length. Second, the resulting 160 clusters that include similar sequences (>25% similarity) were divided at random between the five sub sets to ensure that each subset has similar number of sequences and similar ratio of DFL to NDFL residues.",,0,,,Critical Assessment of Protein Intrinsic Disorder,Bioinformatics,u5wbqo3nr4,67f5537a822ee03b50b6c3e7,"Fanchi Meng, Lukasz Kurgan",an independent test set was used.,,CAID,,"Fanchi Meng, Lukasz Kurgan",,"on the same test set, it was compared with UMA, EspritzNMR, IUPred, PredBF, PredyFflexy, FlexPred, PROFbval, DynaMine, MFDp.",It is available in the supplementary materials.,doi: 10.1093/bioinformatics/btw280,,2016,CAID,4 fold cross-validation was used. ,"The model is a logistic regression, so it is interpretable.","The training and test datasets have 144 sequences and 60 sequences, respectively, and they are available at http://biomine.ece.ualberta.ca/DFLpred/ .",The prediction of DFLs results in a numeric score in the range between 0 and 1 representing propensity of each residue in the input sequence being in a DFL.,they are reported in the paper. ,Critical Assessment of Protein Intrinsic Disorder
Journal of the American Medical Association,"-AUC
-Sensitivity
-Specificity

Compared to literature these are standard CNN measures but more performance could be disclosed to support performance claims.",Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,p = 22 million,0,,True,Image data,001e9b6a-5273-4c53-b93e-465fbbebd3a5,"Data source: direct experimentation (collection) & publication (for one of the test datasets)

In total: 128,175 macula-centered images  (training data)
-From 2x sites:  33,894 were from India  (Aravind Eye Hospital, Sankara Nethralaya and Narayana Nethralaya) and the rest from EyePACS sites in the USA.

+ separate testing data:
1. EyePACS-1: 9,963 - Random sample of macula-centered images taken at EyePACS screening sites between May 2015 and October 2015.
2. Messidor-2 data set: 1,748 - images were obtained between January 2005 and December 2010 at 3 hospitals in France. (community recognised benchmark dataset)",2025-03-11T14:57:16.452Z,,,,,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,2025-03-11T14:57:16.452Z,,"f = unknown 

Feature selection not performed - authors relied on CNN learning of features from data provided","Convolutional Neural Network (CNN)

Not  a new algorithm: It is Inception-v3 architecture proposed by Szegedy et al.",,0.71,"Training: 128,175

Test set 1 - EyePACS-1: 9,963

Test set 2 -  Messidor-2: 1,748

Data distributions - 'Table.  Baseline Characteristics'
                                                                     training set             EyePACS-1          Messidor-2
                                                                    118,419 (100          8,788 (100%)	1,745 (100%)
No diabetic retinopathy	                     53,759 (45.4%)	7,252 (82.5%)	1,217 (69.7%)
Mild diabetic retinopathy	             30,637 (25.9%)	842 (9.6%)	             264 (15.1%)
Moderate diabetic retinopathy 	     24,366 (20.6%)	545 (6.2%)                211 (12.1%)
Severe diabetic retinopathy	              5,298 (4.5%)	          54 (0.6%)	             28 (1.6%)
Proliferative diabetic retinopathy    4,359 (3.7%)	           95 (1.1%)                25 (1.4%)
Referable diabetic macular edema  18,224 (15.4%)	272 (3.1%)	            125 (7.2%)
Referable diabetic retinopathy	     33,246 (28.1%)	683 (7.8%)	            254 (14.6%)",Authors assert independent test and training data splits. No data available to explicitly show this. ,,0,,,Deep learning,Journal of the American Medical Association,cvu6djmvfq,67d04f4c478cfd7e6983b167,"Gulshan, V., Peng, L., Coram, M., Stumpe, M. C., Wu, D., Narayanaswamy, A., Venugopalan, S., Widner, K., Madams, T., Cuadros, J., Kim, R., Raman, R., Nelson, P. C., Mega, J. L., & Webster, D. R.",Independent dataset,,Diabetic Retinopathy,Image data,"Gulshan, V., Peng, L., Coram, M., Stumpe, M. C., Wu, D., Narayanaswamy, A., Venugopalan, S., Widner, K., Madams, T., Cuadros, J., Kim, R., Raman, R., Nelson, P. C., Mega, J. L., & Webster, D. R.",Yes - confidence intervals noted in text in section 'Statistical Analysis and Performance Comparison on Clinical Validation Sets'. Authors note: statistical significance and simultaneous 2-sided confidence intervals were computed.,"Comparison was performed against ophthalmology experts classification grading as a baseline:
-Test set graders: Graders who were US board-certified ophthalmologists with the highest rate of self-consistency were invited to grade the clinical validation sets, EyePACS-1 (n = 8) and Messidor-2 (n = 7)
-Training set graders: 54 graders for the training set were US-licensed ophthalmologists or ophthalmology trainees in their last year of residency (postgraduate year 4). 

Messidor-2 test data set - has been used by other groups for benchmarking performance of automated detection algorithms for diabetic retinopathy. Can be considered a benchmark dataset as a result.",,10.1001/jama.2016.17216,Images are scale normalised to 299 pixels wide using a circular mask of the fundus. Data preprocessing noted in main supplementary data file section: 'Data pre-processing' - images excluded where the circular mask could not be detected.,2016,Diabetic Retinopathy,"Yes - overfitting prevention techniques used: early stopping, model ensembling using 10 models - final prediction was computed by a linear average over the predictions of the ensemble and hold out set (80:20 split)","Black box - no model code, no CNN network interpretability noted, no dataset files availability, no config files - completely unreproducible and core information missing.",No: The data is not available - likely falling under sensitive patient data restrictions.,,,Deep learning
BMC Genomics,"Apriori is an unsupervised learning algorithm, the concept of performance measures in the traditional sense (like accuracy or precision) doesn't directly apply. ",Comparative genomics of European avian pathogenic E. Coli (APEC),"Provided a standard Apriori ML algorithm was implemented as indicated in the text, here are some of the key parameters that would be used:
Minimum Support 
Minimum Confidence 

Also sometimes used by the Apriori ML algorithm are:
Maximum Length 
Lift
",0,,True,,4871c35e-fd51-4036-abbc-783f8f4ca99a,"Avian pathogenic Escherichia coli (APEC) isolates were the primary data source and were collected through direct experimentation. 

272 APEC isolates were collected from the  UK (173), Germany (69) and Italy (30). These 272 isolates were then genetically characterised using multiplex polymerase chain reactions (PCRs) targeting 22 equally weighted factors covering virulence genes, R-type and phylogroup. This data was used for their ML approaches. 

95 of the 272 isolates were further analysed using Whole Genome Sequencing (WGS) to create whole genomes. This data was not used for their ML appraoches.",2024-05-31T16:58:18.981Z,Information not provided for the text on the ML section. It is unlikely a HPC machine was needed to run the analysis as the software was released in the early 2000s and uses a user friendly graphical user interface.  ,,"No - Apriori ML alogrithm does not use meta-predictions as an input. 

While Apriori doesn't use meta-predictors, other algorithms for association rule learning might leverage them:
SEuqential Miner (SEQUOIA)or Constraint-based association rule learning.",,Comparative genomics of European avian pathogenic E. Coli (APEC),2024-05-31T16:58:18.981Z,"No, it seems no novel code was produced or shared if it was produced for the analysis. No GitHub or code repository linked. The primary ML related software used for the analysis is identified as the 'machine learning and data mining software WEKA' which is referenced in the text. (https://dl.acm.org/doi/10.1145/1656274.1656278)","None - not applicable to Apriori ML model. They use transactional datasets, in this case the 22 PCR virulence factors are the constituents of the transactional dataset in relation to each of the 272 isolates.","To determine virulence factor associations the in the PCR isolates data they used machine learning and data mining software WEKA. Within WEKA the Apriori ML algorithm was applied to the data.

This Apriori ML algorithm is not new, first proposed in 1994.",,0.95,No - no data split as unsupervised classification method used without labelled data included. ,Data was not split. No training data used due to unsupervised classification ML model used.,,,"No - unsupervised ML method, used to classify and no fitting is used for this. ",27875980,,BMC Genomics,23rrtkglve,665a01aa37ea6fa797a6bd7d,"Guido Cordoni, Martin J. Woodward, Huihai Wu, Mishaal Alanazi, Tim Wallis and Roberto M. La Ragione","The Apriori ML algorithm itself doesn't directly benefit from techniques like cross-validation typically used in supervised learning. 

The 22 equally weighted factors covering virulence genes, R-type and phylogroup predicted factor associations were used in a standard ML Apriori algorithm implementation. This is a novel dataset.",,,,"Guido Cordoni, Martin J. Woodward, Huihai Wu, Mishaal Alanazi, Tim Wallis and Roberto M. La Ragione",No cross compaarison to other methods. From the text: Strong factor associations were reported (confidence 0.99):  1). ompT (protease) == > hylP (haemolysin) 2). IroN (siderophore) + ompT (proteases) == > hlyp (haemolysin) 3). ompT (proteases) + sitA (cell adhesion–metal ions binding== > hlyp (haemolysisn).  Significant factor associations were reported (confidence above 0.95): 4). IroN (siderophore) + sitA (cell adhesion–metal ions binding) == > hlyP (haemolysisn conf:(0.96) 5). cva/cvi (bacteriocin immunity) == > hlyP (haemolysisn) conf:(0.96) 6). hlyP (haemolysisn) + sitA (cell adhesion metal ions binding) == > iron (siderophore) conf:(0.95) 7). hlyp(haemolysisn) = 1 sitA (cell adhesion–metal ions binding) == > ompT (proteases) conf:(0.95).,No ,,10.1186/s12864-016-3289-7,"No clear preprocessing was undertaken beyond standard data structuring for use in the ML alogrithm. 22 equally weighted factors covering virulence genes, R-type and phylogroup were checked for their presence in each of the 272 isolates. These DNA data virulence factors are available in spreadsheet like tables in the paper.",2016,,No - not applicable for this unsupervised ML method. No regularistaion is used.,"Information and tutorials are available on the Apriori ML algorithm of the Weka software in online tutorials e.g. https://www.tutorialspoint.com/weka/weka_association.htm . As the default parameters were used, it is not a complete black box. However, the exact availability of the Weka tool's underlying code is not clear or easily available from the paper, e.g. no GitHub link. ","Data relevant to the ML methods:
The PCR data was the determination of the presence of 22 equally weighted genetic factors covering virulence genes, R-type and phylogroup across 272 isolates. This data such as gene names, amplicon size in bp length and sequence 5′–3′ are available in tables in the text - Tables 1, 2 and 3. 

Data not relevant to the ML methods:
The WGS sequences can be found on European Nucleotide Archive (EMBL-EBI) with project accession number PRJEB11876 (ERP013295) and on the NCBI database.
ENA: http://www.ebi.ac.uk/ena/data/view/PRJEB11876
NCBI: https://www.ncbi.nlm.nih.gov/bioproject/PRJEB11876/  ",Classification model.,"Apriori ML algorithm in WEKA software was used, leaving all the parameters on the default settings. ",
Nat Commun,ROC curve,Cox process representation and inference for stochastic reaction-diffusion processes.,Protocol is clear,0,,True,,2882dbba-6819-442d-b027-50598cd5a0a6,,2022-09-01T15:16:05.445Z,,,,,Cox process representation and inference for stochastic reaction-diffusion processes.,2022-09-01T15:16:05.445Z,,,"Ensemble, incl. Adaboost Random Forrest, and SVM",03/16/2022 17:02:02,0.76,"100 pos, 2000 neg",,03/16/2022 17:02:02,0,Class imbalance is compensated,27222432,,Nat Commun,yirxngqbuc,63516fedb9c880af1f305b95,"Schnoerr D, Grima R, Sanguinetti G",Cross validation,,,,"Schnoerr D, Grima R, Sanguinetti G",,,,10.1038/ncomms11729,,2016,,No but kernel: RBF,Black box,,Binary classification but evaluated a ranker: ROC,,
PLoS One,ROC Curve,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.,,0,,True,,ae4b3d28-aac1-4f6c-87b5-cd0f72a69674,,2022-09-01T15:16:05.445Z,,,Yes. Protein structures/Protein sequences,,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.,2022-09-01T15:16:05.445Z,,,,02/23/2022 17:15:55,0.38,,,02/23/2022 17:15:55,0,,27855170,,PLoS One,xyv3h983ib,63516fedb9c880af1f305b87,"Crisman TJ, Zelaya I, Laks DR, Zhao Y, Kawaguchi R, Gao F, Kornblum HI, Coppola G",Independent dataset,,,,"Crisman TJ, Zelaya I, Laks DR, Zhao Y, Kawaguchi R, Gao F, Kornblum HI, Coppola G",,,,10.1371/journal.pone.0164649,,2016,,,Black box,,,,
PLoS Comput Biol,"F-measure statistic (the harmonic mean of precision
 and recall)",Machine Learning for Characterization of Insect Vector Feeding.,depth-4 feed-forward neural nets,0,,True,,5de83145-b739-43f7-a0cf-8c223ddf45f9," three CyTOF datasets consisting of 56, 136 and 16 PBMC samples",2022-09-01T15:16:05.445Z,,,,,Machine Learning for Characterization of Insect Vector Feeding.,2022-09-01T15:16:05.445Z,"https://github.com/
 KlugerLab/deepcytof.git.",,,02/21/2022 23:04:51,0.71,,,02/21/2022 23:04:51,0,,27832081,,PLoS Comput Biol,8ockqu6jl9,63516fedb9c880af1f305b86,"Willett DS, George J, Willett NS, Stelinski LL, Lapointe SL",independent dataset,,,,"Willett DS, George J, Willett NS, Stelinski LL, Lapointe SL",comparison with manually performed task,,,10.1371/journal.pcbi.1005158,"sample denoising, calibration between target samples and a single reference source sample
and finally cell classification. We implement each of these tasks using the following three neural nets: (i) a denoising autoencoder (DAE) for handling missing data; (ii) an MMD-ResNet for calibrating between the target samples and a reference source sample; (iii) a
depth-4 feed-forward neural net for classifying/gating cell types trained on a reference source sample.",2016,,"logarithmic transform, followed by rescaling",Black box,,cell classification,"yes, in ""savedmodels"" folder in https://github.com/KlugerLab/deepcytof.git.",
J Pharmacol Exp Ther,"lastic net models: average sensitivity 0.75, average specificity 0.78, AUROC 0.81
 SVM models: average sensitivity 0.59, average specificity 0.56, AUROC 0.55","Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.",,0,,True,,e9716212-a945-4dc9-b615-7fc1704b6dbf,"source of data:  large pharmacogenomics studies: Genomics of Drug Sensitivity in Cancer Project (GDSC), and the Cancer Cell Line Encyclopedia (CCLE),
after filtering, they created a single array of data containing information on 3577 features in 624 cell lines",2022-09-01T15:16:05.445Z,,,,,"Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.",2022-09-01T15:16:05.445Z,,"selected features from the deep learning autoencoder: ""Matlab code for training a deep autoencoder as described by Hinton and Salakhutdinov was obtained from Hinton's website (http://www.cs.toronto.edu/$hinton/MatlabForSciencePaper.html)""","Elastic net regression, SVM  and deep autoencoder",02/09/2022 10:22:18,0.62,"for training a deep autoencoder: randomly split into training and testing datasets of 520 and 104 samples, respectively

for drug-sensitivity prediction: 25-fold cross-validation",,02/09/2022 10:22:18,0,,27488918,,J Pharmacol Exp Ther,3htxdzl6gy,63516fedb9c880af1f305b85,"Liu HC, Goldenberg A, Chen Y, Lun C, Wu W, Bush KT, Balac N, Rodriguez P, Abagyan R, Nigam SK",25-fold cross-validation,,,,"Liu HC, Goldenberg A, Chen Y, Lun C, Wu W, Bush KT, Balac N, Rodriguez P, Abagyan R, Nigam SK",,they mentioned two similar studies: 10.1126/science.1127647 and 10.1038/nature12831,,10.1124/jpet.116.232660,selected features from the deep learning autoencoder,2016,,"Yes, variance-based mixture-fitting feature selection scheme",Black box,,,,
